hs12,description
01,Animals; live
0101,"Horses, asses, mules and hinnies; live"
010121,"Horses; live, pure-bred breeding animals"
010129,"Horses; live, other than pure-bred breeding animals"
010130,Asses; live
010190,Mules and hinnies; live
0102,Bovine animals; live
010221,"Cattle; live, pure-bred breeding animals"
010229,"Cattle; live, other than pure-bred breeding animals"
010231,"Buffalo; live, pure-bred breeding animals"
010239,"Buffalo; live, other than pure-bred breeding animals"
010290,"Bovine animals; live, other than cattle and buffalo"
0103,Swine; live
010310,"Swine; live, pure-bred breeding animals"
010391,"Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
010392,"Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
0104,Sheep and goats; live
010410,Sheep; live
010420,Goats; live
0105,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
010511,"Poultry; live, fowls of the species Gallus domesticus, weighing not more than 185g"
010512,"Poultry; live, turkeys, weighing not more than 185g"
010513,"Poultry; live, ducks, weighing not more than 185g"
010514,"Poultry; live, geese, weighing not more than 185g"
010515,"Poultry; live, guinea fowls, weighing not more than 185g"
010594,"Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
010599,"Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
0106,"Animals; live, n.e.c. in chapter 01"
010611,"Mammals; live, primates"
010612,"Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,"Mammals; live, camels and other camelids (Camelidae)"
010614,"Mammals; live, rabbits and hares"
010619,"Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
010620,Reptiles; live (including snakes and turtles)
010631,"Birds; live, birds of prey"
010632,"Birds; live, Psittaciformes"
010633,"Birds; live, ostriches; emus (Dromaius novaehollandiae)"
010639,"Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
010641,"Insects; live, bees"
010649,"Insects; live, other than bees"
010690,"Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
02,Meat and edible meat offal
0201,Meat of bovine animals; fresh or chilled
020110,"Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
