"","attributes(nesi_individuals_with_grants_2015)$variable.labels"
"ID_DIRECTORIO","Identificación Única para Manzanas y/o Secciones"
"ID_IDENTIFICACION","Identificación Vivienda-Hogar"
"REGION","Región"
"R_P_C","Código Comuna-Región Provincia Comuna"
"ANO_TRIMESTRE","Año Trimestre"
"MES_CENTRAL","Mes Central"
"ESTRATO","Código Estrato"
"TIPO","Tipo Estrato"
"T_MUESTRA","Tipo Muestra Marco 2002-Marco 2005"
"MES_ENCUESTA","Mes Encuestaje"
"HOGAR","Código Hogar, Número Hogar"
"ANO_ENCUESTA","Año Encuestaje"
"NRO_LINEA","Número Línea, Número Persona"
"EDAD","Edad de la Persona"
"PARENTESCO","Parentesco"
"SEXO","Sexo"
"CURSO","Curso Más Alto Aprobado"
"NIVEL","Nivel Más Alto Aprobado"
"TERMINO_NIVEL","Terminó Nivel"
"CINE","Clasificación Internacional de Nivel Educacional"
"PROVEEDOR","Proveedor"
"NACIONALIDAD","Nacionalidad"
"EST_CONYUGAL","Estado Conyugal"
"GRUPO_EDAD","Grupo de Edad"
"TPERH","Total Personas en el Hogar"
"TMENH","Total Personas Menores de 15 Años"
"TMAYH","Total Personas de 15 Años y Más"
"A1","A1. La semana pasada, es decir, entre lunes y domingo, ¿trabajó por lo menos una hora?"
"A2","A2. Independientemente de lo que acaba de decir, ¿hizo algún negocio, pololo u otra actividad por cuenta propia por lo menos durante una hora?"
"A3","A3. ¿Recibió o recibirá un pago, ya sea en dinero o en especie, por ese trabajo?"
"A4","A4. ¿Ese trabajo fue realizado para la empresa o negocio perteneciente a un miembro de su hogar?"
"A5","A5. Aunque no trabajó la semana pasada, es decir entre lunes y domingo, ¿tenía durante dicho periodo un empleo, negocio u otra actividad por la que recibe o recibirá un pago en dinero o en especie?"
"A6","A6. ¿Por qué razón no trabajó la semana pasada?"
"A6_OTRO","A6_OTRO. Especifica A6= Otras razones"
"A7","A7. Durante este periodo en que no trabajó, ¿siguió recibiendo sueldo o ganancias?"
"A8","A8. ¿En cuánto tiempo más volverá a trabajar?"
"B1","B1. Grupo de Ocupación Según CIUO 88 - 1 Dígito"
"CISE","Clasificación Internacional de Categoría en el Empleo"
