"","sex","isic","year","lb_weighted_median"
"1","Hombre","Agricultura, ganadería, caza y silvicultura",2010,170166
"2","Hombre","Agricultura, ganadería, caza y silvicultura",2011,182000
"3","Hombre","Agricultura, ganadería, caza y silvicultura",2012,194085
"4","Hombre","Agricultura, ganadería, caza y silvicultura",2013,210000
"5","Hombre","Agricultura, ganadería, caza y silvicultura",2014,225000
"6","Hombre","Agricultura, ganadería, caza y silvicultura",2015,241982
"7","Hombre","Pesca",2010,180649
"8","Hombre","Pesca",2011,180754
"9","Hombre","Pesca",2012,200000
"10","Hombre","Pesca",2013,200129
"11","Hombre","Pesca",2014,249953
"12","Hombre","Pesca",2015,264785
"13","Hombre","Explotación de minas y canteras",2010,517881
"14","Hombre","Explotación de minas y canteras",2011,502417
"15","Hombre","Explotación de minas y canteras",2012,568488
"16","Hombre","Explotación de minas y canteras",2013,628814
"17","Hombre","Explotación de minas y canteras",2014,646670
"18","Hombre","Explotación de minas y canteras",2015,700041
"19","Hombre","Industrias manufactureras",2010,250245
"20","Hombre","Industrias manufactureras",2011,279530
"21","Hombre","Industrias manufactureras",2012,301353
"22","Hombre","Industrias manufactureras",2013,340461
"23","Hombre","Industrias manufactureras",2014,349970
"24","Hombre","Industrias manufactureras",2015,385104
"25","Hombre","Suministro de electricidad, gas y agua",2010,250245
"26","Hombre","Suministro de electricidad, gas y agua",2011,302673
"27","Hombre","Suministro de electricidad, gas y agua",2012,318713
"28","Hombre","Suministro de electricidad, gas y agua",2013,325667
"29","Hombre","Suministro de electricidad, gas y agua",2014,394638
"30","Hombre","Suministro de electricidad, gas y agua",2015,431523
"31","Hombre","Construcción",2010,219850
"32","Hombre","Construcción",2011,250000
"33","Hombre","Construcción",2012,281411
"34","Hombre","Construcción",2013,298867
"35","Hombre","Construcción",2014,313939
"36","Hombre","Construcción",2015,350095
"37","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",2010,200196
"38","Hombre","Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres do",2011,236104
"39","Hombre","Hoteles y restaurantes",2010,217271
"40","Hombre","Hoteles y restaurantes",2011,240894
"41","Hombre","Hoteles y restaurantes",2012,260557
"42","Hombre","Hoteles y restaurantes",2013,259252
"43","Hombre","Hoteles y restaurantes",2014,287724
"44","Hombre","Hoteles y restaurantes",2015,316841
"45","Hombre","Transporte, almacenamiento y comunicaciones",2010,270264
"46","Hombre","Transporte, almacenamiento y comunicaciones",2011,299041
"47","Hombre","Transporte, almacenamiento y comunicaciones",2012,301511
