"","sex","isic","comuna_name","comuna_datachile_id","year","FUN"
"1","Hombre","Agricultura, ganadería, caza y silvicultura","Aisén",NA,2010,287408.651395105
"2","Hombre","Agricultura, ganadería, caza y silvicultura","Aisén",NA,2011,181806.972115492
"3","Hombre","Agricultura, ganadería, caza y silvicultura","Aisén",NA,2012,337789.890256986
"4","Hombre","Agricultura, ganadería, caza y silvicultura","Algarrobo",1,2012,251405.270917803
"5","Hombre","Agricultura, ganadería, caza y silvicultura","Alhué",2,2011,10026
"6","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2010,197235.87507924
"7","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2011,234431.144408868
"8","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2012,170083.988657586
"9","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2013,210085.867167839
"10","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2014,217652.939392293
"11","Hombre","Agricultura, ganadería, caza y silvicultura","Alto del Carmen",4,2015,311405.640634539
"12","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2010,68989.9826719788
"13","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2012,181011.795060818
"14","Hombre","Agricultura, ganadería, caza y silvicultura","Alto Hospicio",5,2014,180000
"15","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2010,95301.2389414185
"16","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2011,102379.201832798
"17","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2012,324376.039891485
"18","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2013,175381.233056982
"19","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2014,466405.005419041
"20","Hombre","Agricultura, ganadería, caza y silvicultura","Ancud",6,2015,317790.87662504
"21","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2010,150146.79976512
"22","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2011,109744.533421784
"23","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2012,146528.613501132
"24","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2013,278376.863985541
"25","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2014,164973.354915128
"26","Hombre","Agricultura, ganadería, caza y silvicultura","Andacollo",7,2015,151936.000489115
"27","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2010,293752.502138035
"28","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2011,427962.641872431
"29","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2012,477267.086010599
"30","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2013,243188.110657668
"31","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2014,321519.301894881
"32","Hombre","Agricultura, ganadería, caza y silvicultura","Angol",8,2015,266454.362682183
"33","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2011,140676.648976497
"34","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2012,357531.363997844
"35","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2014,380039.717990664
"36","Hombre","Agricultura, ganadería, caza y silvicultura","Antofagasta",9,2015,330089.301822119
"37","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2010,94019.1536883243
"38","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2011,110391.724946951
"39","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2012,93455.4870406968
"40","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2013,124225.237383824
"41","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2014,175827.404025878
"42","Hombre","Agricultura, ganadería, caza y silvicultura","Antuco",10,2015,106695.531902099
"43","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2010,231666.400589909
"44","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2011,263097.913543736
"45","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2012,312060.383755847
"46","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2013,221226.991961102
"47","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2014,279095.149611408
"48","Hombre","Agricultura, ganadería, caza y silvicultura","Arauco",11,2015,302581.860003609
"49","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2010,250544.065769024
"50","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2011,391216.026473756
"51","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2012,303550.810907577
"52","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2013,298846.758540278
"53","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2014,273480.684190482
"54","Hombre","Agricultura, ganadería, caza y silvicultura","Arica",12,2015,355412.841817979
"55","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2013,307408.047831488
"56","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2014,346052.019130843
"57","Hombre","Agricultura, ganadería, caza y silvicultura","Aysén",13,2015,196659.783745782
"58","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2010,204949.898313859
"59","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2011,240352.718987128
"60","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2012,359291.148736807
"61","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2013,236940.106715972
"62","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2014,293541.55215277
"63","Hombre","Agricultura, ganadería, caza y silvicultura","Buin",14,2015,479733.668149462
"64","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2010,165627.678150244
"65","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2011,295545.305988209
"66","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2012,239754.241506243
"67","Hombre","Agricultura, ganadería, caza y silvicultura","Bulnes",15,2013,202552.149012741
