"","sex","isco","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2010,237983.791975973
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2011,180068.730477235
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2012,309235.925557384
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2013,233537.023674511
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2014,292658.962408022
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2015,435377.209471109
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2010,146365.863409831
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2011,135560.28195205
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2012,243107.607591592
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2013,209175.505629937
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2014,193941.95268494
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2015,266101.569643983
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2010,269838.038853853
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2011,284923.578428867
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2012,318330.470802988
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2013,356217.504564322
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2014,330302.045997063
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2015,464621.97158815
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2010,258086.504547471
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2011,282365.786818611
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2012,389974.796044097
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2013,364385.642473578
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2014,790625.030325146
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2015,320334.528763624
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2010,547107.827587728
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2011,163847.248198148
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2012,213216.512211056
