"","sexo","rama","provincia","2011","2013","2015"
"1","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Antofagasta",361802,199392,354503
"2","Hombre","Pesca","Antofagasta",474556,368816,258786
"3","Hombre","Explotación de Minas y Canteras","Antofagasta",810326,822547,881627
"4","Hombre","Industrias Manufactureras","Antofagasta",660104,530031,712011
"5","Hombre","Electricidad, Gas y Agua","Antofagasta",593111,587136,748376
"6","Hombre","Construcción","Antofagasta",543613,467070,517771
"7","Hombre","Comercio","Antofagasta",536729,499543,474091
"8","Hombre","Hoteles y Restaurantes","Antofagasta",596240,340246,680645
"9","Hombre","Transporte, Almacenamiento y Comunicaciones","Antofagasta",552399,509219,618825
"10","Hombre","Intermediación Financiera","Antofagasta",806405,706250,629467
"11","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Antofagasta",694044,823626,751050
"12","Hombre","Administración Pública y Defensa","Antofagasta",690533,637292,610770
"13","Hombre","Enseñanza","Antofagasta",712724,751578,679381
"14","Hombre","Servicios Sociales y de Salud","Antofagasta",772237,854194,820000
"15","Hombre","Servicios Comunitarios, Sociales y Personales","Antofagasta",408241,514536,410625
"16","Hombre","Servicio Doméstico","Antofagasta",280270,642895,425000
"17","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Arauco",208933,234891,275072
"18","Hombre","Pesca","Arauco",228140,138322,208031
"19","Hombre","Explotación de Minas y Canteras","Arauco",343730,396353,779955
"20","Hombre","Industrias Manufactureras","Arauco",306451,336040,320910
"21","Hombre","Electricidad, Gas y Agua","Arauco",186605,170000,396139
"22","Hombre","Construcción","Arauco",257739,238290,288286
"23","Hombre","Comercio","Arauco",236754,280310,303260
"24","Hombre","Hoteles y Restaurantes","Arauco",325070,353364,265833
"25","Hombre","Transporte, Almacenamiento y Comunicaciones","Arauco",319226,320225,385380
"26","Hombre","Intermediación Financiera","Arauco",361020,1400000,743667
"27","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Arauco",529725,520000,370598
"28","Hombre","Administración Pública y Defensa","Arauco",243743,451632,415130
"29","Hombre","Enseñanza","Arauco",360068,459957,629467
"30","Hombre","Servicios Sociales y de Salud","Arauco",424229,600667,593477
"31","Hombre","Servicios Comunitarios, Sociales y Personales","Arauco",226823,214182,225769
"32","Hombre","Servicio Doméstico","Arauco",308100,140000,148391
"33","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Arica",379009,251950,237365
"34","Hombre","Pesca","Arica",409778,331508,463333
"35","Hombre","Explotación de Minas y Canteras","Arica",703981,541548,748772
"36","Hombre","Industrias Manufactureras","Arica",411641,319020,321324
"37","Hombre","Electricidad, Gas y Agua","Arica",432641,565268,437500
"38","Hombre","Construcción","Arica",352486,281621,366880
"39","Hombre","Comercio","Arica",357359,281741,297412
"40","Hombre","Hoteles y Restaurantes","Arica",302245,283775,310990
"41","Hombre","Transporte, Almacenamiento y Comunicaciones","Arica",485782,323316,411997
"42","Hombre","Intermediación Financiera","Arica",352689,432143,260000
"43","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Arica",632210,426752,801765
"44","Hombre","Administración Pública y Defensa","Arica",664258,684536,659348
"45","Hombre","Enseñanza","Arica",577587,510840,734648
"46","Hombre","Servicios Sociales y de Salud","Arica",486787,558742,875083
"47","Hombre","Servicios Comunitarios, Sociales y Personales","Arica",312045,273420,270825
"48","Hombre","Servicio Doméstico","Arica",229290,194500,2e+05
"49","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Aysén",315886,230099,483603
"50","Hombre","Pesca","Aysén",395256,334608,442743
"51","Hombre","Explotación de Minas y Canteras","Aysén",404561,531944,521875
"52","Hombre","Industrias Manufactureras","Aysén",372582,386985,226250
"53","Hombre","Electricidad, Gas y Agua","Aysén",343516,367500,265000
"54","Hombre","Construcción","Aysén",415375,345183,432860
"55","Hombre","Comercio","Aysén",424394,368610,340923
"56","Hombre","Hoteles y Restaurantes","Aysén",476809,338636,546000
"57","Hombre","Transporte, Almacenamiento y Comunicaciones","Aysén",500762,530610,458125
"58","Hombre","Intermediación Financiera","Aysén",328200,NA,717000
"59","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Aysén",988433,367500,418250
"60","Hombre","Administración Pública y Defensa","Aysén",780556,627861,823913
"61","Hombre","Enseñanza","Aysén",795794,923235,583875
"62","Hombre","Servicios Sociales y de Salud","Aysén",961626,617223,641667
"63","Hombre","Servicios Comunitarios, Sociales y Personales","Aysén",418324,400833,326667
"64","Hombre","Servicio Doméstico","Aysén",256750,6e+05,350000
