"","sex","isced","geography_name","geography_id","year","weighted_mean"
"1","Hombre","Doctorado","Antofagasta","p21",2010,1498974.10845139
"2","Hombre","Doctorado","Antofagasta","p21",2011,1893926.85907681
"3","Hombre","Doctorado","Antofagasta","p21",2013,925144.877007873
"4","Hombre","Doctorado","Antofagasta","p21",2014,1999878.28853908
"5","Hombre","Doctorado","Antofagasta","p21",2015,2500000
"6","Hombre","Doctorado","Arica","p151",2010,1598905.71568148
"7","Hombre","Doctorado","Arica","p151",2011,1348362.28805114
"8","Hombre","Doctorado","Arica","p151",2012,1500000
"9","Hombre","Doctorado","Arica","p151",2015,2451866.32994353
"10","Hombre","Doctorado","Bíobío","p83",2010,860000
"11","Hombre","Doctorado","Bíobío","p83",2011,720000
"12","Hombre","Doctorado","Bíobío","p83",2012,82863.1772945077
"13","Hombre","Doctorado","Bíobío","p83",2015,2510186.5266208
"14","Hombre","Doctorado","Cachapoal","p61",2010,1331301.62458406
"15","Hombre","Doctorado","Cachapoal","p61",2013,996223.700773242
"16","Hombre","Doctorado","Cautín","p91",2010,3297192.46689577
"17","Hombre","Doctorado","Cautín","p91",2012,895148.915649074
"18","Hombre","Doctorado","Cautín","p91",2013,2365702.66606417
"19","Hombre","Doctorado","Cautín","p91",2014,1756361.11059758
"20","Hombre","Doctorado","Cautín","p91",2015,1672796.53655733
"21","Hombre","Doctorado","Chacabuco","p133",2010,1259152.5838716
"22","Hombre","Doctorado","Chacabuco","p133",2011,697762.527028297
"23","Hombre","Doctorado","Chacabuco","p133",2012,803608.24742268
"24","Hombre","Doctorado","Chacabuco","p133",2013,697356.590541269
"25","Hombre","Doctorado","Chacabuco","p133",2014,3031267.765776
"26","Hombre","Doctorado","Chacabuco","p133",2015,1757130.56863456
"27","Hombre","Doctorado","Colchagua","p63",2010,1800000
"28","Hombre","Doctorado","Concepción","p81",2010,1181973.22019715
"29","Hombre","Doctorado","Concepción","p81",2011,1821827.04041917
"30","Hombre","Doctorado","Concepción","p81",2012,2117687.06472155
"31","Hombre","Doctorado","Concepción","p81",2013,1209333.5704265
"32","Hombre","Doctorado","Concepción","p81",2014,2534544.34704399
"33","Hombre","Doctorado","Concepción","p81",2015,1559697.78695598
"34","Hombre","Doctorado","Copiapó","p31",2011,2512083.01743745
"35","Hombre","Doctorado","Copiapó","p31",2012,1736707.61150018
"36","Hombre","Doctorado","Cordillera","p152",2011,854605.14855897
"37","Hombre","Doctorado","Cordillera","p152",2012,1154818.10897515
"38","Hombre","Doctorado","Cordillera","p152",2013,1138890.30311372
"39","Hombre","Doctorado","Cordillera","p152",2014,980000
"40","Hombre","Doctorado","Curicó","p73",2011,1507249.81046247
"41","Hombre","Doctorado","Curicó","p73",2012,1206745.30040545
"42","Hombre","Doctorado","El Loa","p22",2010,2798085.0024426
"43","Hombre","Doctorado","El Loa","p22",2011,2500000
"44","Hombre","Doctorado","El Loa","p22",2012,2500000
"45","Hombre","Doctorado","El Loa","p22",2013,1000000
"46","Hombre","Doctorado","El Loa","p22",2014,1500000
"47","Hombre","Doctorado","Elqui","p41",2011,2292560.58437529
"48","Hombre","Doctorado","Elqui","p41",2012,1000000
"49","Hombre","Doctorado","Elqui","p41",2013,567192.315020912
"50","Hombre","Doctorado","Elqui","p41",2014,2300000
"51","Hombre","Doctorado","Elqui","p41",2015,1150703.10001926
"52","Hombre","Doctorado","Iquique","p11",2011,1500000
"53","Hombre","Doctorado","Iquique","p11",2012,1331749.4600432
"54","Hombre","Doctorado","Iquique","p11",2013,625000
"55","Hombre","Doctorado","Iquique","p11",2014,1000000
"56","Hombre","Doctorado","Iquique","p11",2015,3002037.30532416
"57","Hombre","Doctorado","Linares","p74",2011,3014499.62092494
"58","Hombre","Doctorado","Linares","p74",2012,3016863.25101363
"59","Hombre","Doctorado","Llanquihue","p101",2010,2650000
"60","Hombre","Doctorado","Llanquihue","p101",2011,3500000
"61","Hombre","Doctorado","Llanquihue","p101",2015,1740386.89018534
"62","Hombre","Doctorado","Los Andes","p53",2012,1104961.34020619
"63","Hombre","Doctorado","Los Andes","p53",2013,996223.700773242
"64","Hombre","Doctorado","Magallanes","p121",2010,1283260.68737405
"65","Hombre","Doctorado","Magallanes","p121",2011,6069192.57012888
"66","Hombre","Doctorado","Magallanes","p121",2012,1747086.67398954
"67","Hombre","Doctorado","Magallanes","p121",2013,2744143.46667539
"68","Hombre","Doctorado","Magallanes","p121",2014,1452082.78327414
"69","Hombre","Doctorado","Magallanes","p121",2015,1800000
"70","Hombre","Doctorado","Maipo","p134",2010,1630000
"71","Hombre","Doctorado","Maipo","p134",2014,1583808.88453966
"72","Hombre","Doctorado","Maipo","p134",2015,1516752.36033436
"73","Hombre","Doctorado","Malleco","p92",2013,161388.239525265
"74","Hombre","Doctorado","Marga Marga","p58",2012,892490.932672438
"75","Hombre","Doctorado","Marga Marga","p58",2013,971909.952534097
"76","Hombre","Doctorado","Marga Marga","p58",2014,1479747.62340283
"77","Hombre","Doctorado","Marga Marga","p58",2015,2000000
"78","Hombre","Doctorado","Melipilla","p135",2014,599887.492968311
"79","Hombre","Doctorado","Melipilla","p135",2015,350094.714053763
"80","Hombre","Doctorado","Ñuble","p84",2012,5008835
"81","Hombre","Doctorado","Ñuble","p84",2014,1721996.51367099
"82","Hombre","Doctorado","Ñuble","p84",2015,2678363.71528191
"83","Hombre","Doctorado","Osorno","p103",2010,1500000
"84","Hombre","Doctorado","Osorno","p103",2011,1000000
"85","Hombre","Doctorado","Osorno","p103",2012,1263111.31163764
"86","Hombre","Doctorado","Osorno","p103",2013,2361843.3179523
"87","Hombre","Doctorado","Osorno","p103",2014,1476992.20036098
"88","Hombre","Doctorado","Osorno","p103",2015,600162.366949308
"89","Hombre","Doctorado","Petorca","p54",2014,858859.2003032
"90","Hombre","Doctorado","Quillota","p55",2012,700000
"91","Hombre","Doctorado","Quillota","p55",2013,800000
"92","Hombre","Doctorado","Quillota","p55",2014,2000000
"93","Hombre","Doctorado","Quillota","p55",2015,720000
"94","Hombre","Doctorado","San Felipe","p57",2013,1444524.3661212
"95","Hombre","Doctorado","San Felipe","p57",2014,889833.114569662
"96","Hombre","Doctorado","San Felipe","p57",2015,1833829.45456733
"97","Hombre","Doctorado","Santiago","p131",2010,1184373.23064553
"98","Hombre","Doctorado","Santiago","p131",2011,2541380.67564871
"99","Hombre","Doctorado","Santiago","p131",2012,2410766.47683621
"100","Hombre","Doctorado","Santiago","p131",2013,1591991.87674187
"101","Hombre","Doctorado","Santiago","p131",2014,2388453.95673883
"102","Hombre","Doctorado","Santiago","p131",2015,2622651.19809078
"103","Hombre","Doctorado","Talca","p71",2010,1498974.10845139
"104","Hombre","Doctorado","Talca","p71",2011,1061066.99195248
"105","Hombre","Doctorado","Talca","p71",2012,1714877.76641418
"106","Hombre","Doctorado","Talca","p71",2014,1649690.60566285
"107","Hombre","Doctorado","Talca","p71",2015,2935413.72574184
"108","Hombre","Doctorado","Tamarugal","p12",2012,80000
"109","Hombre","Doctorado","Tamarugal","p12",2013,325000
"110","Hombre","Doctorado","Valdivia","p141",2010,1301272.26463104
"111","Hombre","Doctorado","Valdivia","p141",2011,1434752.2622991
"112","Hombre","Doctorado","Valdivia","p141",2012,1282334.51805002
"113","Hombre","Doctorado","Valdivia","p141",2013,1492582.7169435
"114","Hombre","Doctorado","Valdivia","p141",2014,1597848.90293753
"115","Hombre","Doctorado","Valdivia","p141",2015,939001.543737886
"116","Hombre","Doctorado","Valparaíso","p51",2010,1269600.99189428
"117","Hombre","Doctorado","Valparaíso","p51",2011,1374744.70287011
"118","Hombre","Doctorado","Valparaíso","p51",2012,1715137.0050784
"119","Hombre","Doctorado","Valparaíso","p51",2013,1789316.28207253
"120","Hombre","Doctorado","Valparaíso","p51",2014,1558680.37283489
"121","Hombre","Doctorado","Valparaíso","p51",2015,4057633.36592546
"122","Hombre","Educación Preescolar","Antofagasta","p21",2011,250000
"123","Hombre","Educación Preescolar","Antofagasta","p21",2012,353461.538461538
"124","Hombre","Educación Preescolar","Antofagasta","p21",2013,300000
"125","Hombre","Educación Preescolar","Antofagasta","p21",2014,80833.80708736
"126","Hombre","Educación Preescolar","Arauco","p82",2012,193870.489690722
"127","Hombre","Educación Preescolar","Arauco","p82",2013,44560.3253502035
"128","Hombre","Educación Preescolar","Arauco","p82",2014,101042.2588592
"129","Hombre","Educación Preescolar","Arica","p151",2010,404395.380700723
"130","Hombre","Educación Preescolar","Arica","p151",2011,296252.801757874
"131","Hombre","Educación Preescolar","Arica","p151",2012,80449.6866936968
"132","Hombre","Educación Preescolar","Arica","p151",2013,60000
"133","Hombre","Educación Preescolar","Arica","p151",2015,71786.5857739646
"134","Hombre","Educación Preescolar","Aysén","p112",2011,166036.663752301
"135","Hombre","Educación Preescolar","Bíobío","p83",2012,48269.8120162181
"136","Hombre","Educación Preescolar","Cachapoal","p61",2010,135546.68500382
"137","Hombre","Educación Preescolar","Cachapoal","p61",2011,211014.973464746
"138","Hombre","Educación Preescolar","Cachapoal","p61",2012,112554.115083722
"139","Hombre","Educación Preescolar","Cachapoal","p61",2013,156677.153300036
"140","Hombre","Educación Preescolar","Cachapoal","p61",2015,80021.6489265744
"141","Hombre","Educación Preescolar","Cardenal Caro","p62",2011,200000
"142","Hombre","Educación Preescolar","Cauquenes","p72",2014,199962.497656104
"143","Hombre","Educación Preescolar","Cautín","p91",2010,418021.156284868
"144","Hombre","Educación Preescolar","Cautín","p91",2015,71250.6150446097
"145","Hombre","Educación Preescolar","Chacabuco","p133",2010,370000
"146","Hombre","Educación Preescolar","Chacabuco","p133",2014,199962.497656104
"147","Hombre","Educación Preescolar","Chacabuco","p133",2015,183685.483113004
"148","Hombre","Educación Preescolar","Chañaral","p32",2012,200000
"149","Hombre","Educación Preescolar","Chiloé","p102",2010,62761.3623018202
"150","Hombre","Educación Preescolar","Chiloé","p102",2011,182879.643669446
"151","Hombre","Educación Preescolar","Chiloé","p102",2015,20000
"152","Hombre","Educación Preescolar","Choapa","p42",2010,59958.9643380557
"153","Hombre","Educación Preescolar","Choapa","p42",2011,100483.320697498
"154","Hombre","Educación Preescolar","Choapa","p42",2012,139969.826585895
"155","Hombre","Educación Preescolar","Choapa","p42",2013,179445.689463948
"156","Hombre","Educación Preescolar","Choapa","p42",2014,264000
"157","Hombre","Educación Preescolar","Choapa","p42",2015,30008.1183474654
"158","Hombre","Educación Preescolar","Colchagua","p63",2010,175171.26639264
"159","Hombre","Educación Preescolar","Colchagua","p63",2014,235684.908004345
"160","Hombre","Educación Preescolar","Colchagua","p63",2015,380343.462513584
"161","Hombre","Educación Preescolar","Concepción","p81",2010,27721.6604453201
