"","sex","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Antofagasta",2,2010,399726
"2","Hombre","Antofagasta",2,2011,419212
"3","Hombre","Antofagasta",2,2012,500000
"4","Hombre","Antofagasta",2,2013,500678
"5","Hombre","Antofagasta",2,2014,500000
"6","Hombre","Antofagasta",2,2015,587223
"7","Hombre","Araucanía",9,2010,172059
"8","Hombre","Araucanía",9,2011,200425
"9","Hombre","Araucanía",9,2012,214516
"10","Hombre","Araucanía",9,2013,216166
"11","Hombre","Araucanía",9,2014,250000
"12","Hombre","Araucanía",9,2015,277476
"13","Hombre","Arica y Parinacota",15,2010,229843
"14","Hombre","Arica y Parinacota",15,2011,237971
"15","Hombre","Arica y Parinacota",15,2012,276021
"16","Hombre","Arica y Parinacota",15,2013,300000
"17","Hombre","Arica y Parinacota",15,2014,300525
"18","Hombre","Arica y Parinacota",15,2015,354937
"19","Hombre","Atacama",3,2010,299907
"20","Hombre","Atacama",3,2011,301450
"21","Hombre","Atacama",3,2012,341034
"22","Hombre","Atacama",3,2013,385964
"23","Hombre","Atacama",3,2014,394158
"24","Hombre","Atacama",3,2015,408807
"25","Hombre","Aysén",11,2010,279809
"26","Hombre","Aysén",11,2011,314207
"27","Hombre","Aysén",11,2012,344751
"28","Hombre","Aysén",11,2013,348678
"29","Hombre","Aysén",11,2014,349960
"30","Hombre","Aysén",11,2015,428030
"31","Hombre","Bíobío",8,2010,200196
"32","Hombre","Bíobío",8,2011,235929
"33","Hombre","Bíobío",8,2012,251128
"34","Hombre","Bíobío",8,2013,278943
"35","Hombre","Bíobío",8,2014,296310
"36","Hombre","Bíobío",8,2015,323996
"37","Hombre","Coquimbo",4,2010,229917
"38","Hombre","Coquimbo",4,2011,250000
"39","Hombre","Coquimbo",4,2012,301353
"40","Hombre","Coquimbo",4,2013,300193
"41","Hombre","Coquimbo",4,2014,328626
"42","Hombre","Coquimbo",4,2015,323021
"43","Hombre","Los Lagos",10,2010,200196
"44","Hombre","Los Lagos",10,2011,240177
"45","Hombre","Los Lagos",10,2012,250000
"46","Hombre","Los Lagos",10,2013,280380
"47","Hombre","Los Lagos",10,2014,300000
"48","Hombre","Los Lagos",10,2015,330042
"49","Hombre","Los Ríos",14,2010,180623
"50","Hombre","Los Ríos",14,2011,200000
"51","Hombre","Los Ríos",14,2012,234668
"52","Hombre","Los Ríos",14,2013,250339
"53","Hombre","Los Ríos",14,2014,271314
"54","Hombre","Los Ríos",14,2015,300503
"55","Hombre","Magallanes",12,2010,349761
"56","Hombre","Magallanes",12,2011,361093
"57","Hombre","Magallanes",12,2012,400747
"58","Hombre","Magallanes",12,2013,429006
"59","Hombre","Magallanes",12,2014,404169
"60","Hombre","Magallanes",12,2015,450000
"61","Hombre","Maule",7,2010,180000
"62","Hombre","Maule",7,2011,190095
"63","Hombre","Maule",7,2012,216710
"64","Hombre","Maule",7,2013,250339
"65","Hombre","Maule",7,2014,259974
"66","Hombre","Maule",7,2015,291182
"67","Hombre","Metropolitana",13,2010,274798
"68","Hombre","Metropolitana",13,2011,300000
"69","Hombre","Metropolitana",13,2012,345096
"70","Hombre","Metropolitana",13,2013,383794
"71","Hombre","Metropolitana",13,2014,389962
"72","Hombre","Metropolitana",13,2015,401630
"73","Hombre","O'Higgins",6,2010,216394
"74","Hombre","O'Higgins",6,2011,240179
"75","Hombre","O'Higgins",6,2012,241604
"76","Hombre","O'Higgins",6,2013,290000
"77","Hombre","O'Higgins",6,2014,299944
"78","Hombre","O'Higgins",6,2015,305432
"79","Hombre","Tarapacá",1,2010,279809
"80","Hombre","Tarapacá",1,2011,299191
"81","Hombre","Tarapacá",1,2012,351579
"82","Hombre","Tarapacá",1,2013,358917
"83","Hombre","Tarapacá",1,2014,449966
"84","Hombre","Tarapacá",1,2015,401630
"85","Hombre","Valparaíso",5,2010,219850
"86","Hombre","Valparaíso",5,2011,250574
"87","Hombre","Valparaíso",5,2012,277956
"88","Hombre","Valparaíso",5,2013,312000
