"","sex","icse","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Asalariado Sector Privado","Algarrobo","1",2010,350343
"2","Hombre","Asalariado Sector Privado","Algarrobo","1",2011,602900
"3","Hombre","Asalariado Sector Privado","Algarrobo","1",2012,291630
"4","Hombre","Asalariado Sector Privado","Algarrobo","1",2013,250339
"5","Hombre","Asalariado Sector Privado","Algarrobo","1",2014,293023
"6","Hombre","Asalariado Sector Privado","Algarrobo","1",2015,251019
"7","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2010,170161
"8","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2011,180000
"9","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2012,192972
"10","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2013,210000
"11","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2014,226597
"12","Hombre","Asalariado Sector Privado","Alto del Carmen","4",2015,245000
"13","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2010,242499
"14","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2011,280077
"15","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2012,281574
"16","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2013,323220
"17","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2014,349943
"18","Hombre","Asalariado Sector Privado","Alto Hospicio","5",2015,313313
"19","Hombre","Asalariado Sector Privado","Ancud","6",2010,185914
"20","Hombre","Asalariado Sector Privado","Ancud","6",2011,199331
"21","Hombre","Asalariado Sector Privado","Ancud","6",2012,77244
"22","Hombre","Asalariado Sector Privado","Ancud","6",2013,180000
"23","Hombre","Asalariado Sector Privado","Ancud","6",2014,212863
"24","Hombre","Asalariado Sector Privado","Ancud","6",2015,249719
"25","Hombre","Asalariado Sector Privado","Andacollo","7",2010,219850
"26","Hombre","Asalariado Sector Privado","Andacollo","7",2011,249201
"27","Hombre","Asalariado Sector Privado","Andacollo","7",2012,301353
"28","Hombre","Asalariado Sector Privado","Andacollo","7",2013,265701
"29","Hombre","Asalariado Sector Privado","Andacollo","7",2014,299944
"30","Hombre","Asalariado Sector Privado","Andacollo","7",2015,240065
"31","Hombre","Asalariado Sector Privado","Angol","8",2010,171895
