"","sex","company_size","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Menos de 5","Algarrobo","1",2010,152210
"2","Hombre","Menos de 5","Algarrobo","1",2011,187778
"3","Hombre","Menos de 5","Algarrobo","1",2012,251405
"4","Hombre","Menos de 5","Algarrobo","1",2013,110149
"5","Hombre","Menos de 5","Algarrobo","1",2014,101042
"6","Hombre","Menos de 5","Alto del Carmen","4",2010,70377
"7","Hombre","Menos de 5","Alto del Carmen","4",2011,68000
"8","Hombre","Menos de 5","Alto del Carmen","4",2012,85000
"9","Hombre","Menos de 5","Alto del Carmen","4",2013,130037
"10","Hombre","Menos de 5","Alto del Carmen","4",2014,50521
"11","Hombre","Menos de 5","Alto del Carmen","4",2015,10033
"12","Hombre","Menos de 5","Alto Hospicio","5",2010,162279
"13","Hombre","Menos de 5","Alto Hospicio","5",2011,180250
"14","Hombre","Menos de 5","Alto Hospicio","5",2012,180000
"15","Hombre","Menos de 5","Alto Hospicio","5",2013,178490
"16","Hombre","Menos de 5","Alto Hospicio","5",2014,207961
"17","Hombre","Menos de 5","Alto Hospicio","5",2015,300081
"18","Hombre","Menos de 5","Ancud","6",2010,80078
"19","Hombre","Menos de 5","Ancud","6",2011,86317
"20","Hombre","Menos de 5","Ancud","6",2012,80436
"21","Hombre","Menos de 5","Ancud","6",2013,99467
"22","Hombre","Menos de 5","Ancud","6",2014,169498
"23","Hombre","Menos de 5","Ancud","6",2015,145713
"24","Hombre","Menos de 5","Andacollo","7",2010,169814
"25","Hombre","Menos de 5","Andacollo","7",2011,150725
"26","Hombre","Menos de 5","Andacollo","7",2012,167221
"27","Hombre","Menos de 5","Andacollo","7",2013,149434
"28","Hombre","Menos de 5","Andacollo","7",2014,118918
"29","Hombre","Menos de 5","Andacollo","7",2015,151535
"30","Hombre","Menos de 5","Angol","8",2010,95429
"31","Hombre","Menos de 5","Angol","8",2011,100000
"32","Hombre","Menos de 5","Angol","8",2012,118282
"33","Hombre","Menos de 5","Angol","8",2013,130121
"34","Hombre","Menos de 5","Angol","8",2014,151225
"35","Hombre","Menos de 5","Angol","8",2015,113580
"36","Hombre","Menos de 5","Antofagasta","9",2010,299795
"37","Hombre","Menos de 5","Antofagasta","9",2011,251208
"38","Hombre","Menos de 5","Antofagasta","9",2012,298596
"39","Hombre","Menos de 5","Antofagasta","9",2013,300181
"40","Hombre","Menos de 5","Antofagasta","9",2014,299944
"41","Hombre","Menos de 5","Antofagasta","9",2015,335551
"42","Hombre","Menos de 5","Antuco","10",2010,37142
"43","Hombre","Menos de 5","Antuco","10",2011,90000
"44","Hombre","Menos de 5","Antuco","10",2012,51742
"45","Hombre","Menos de 5","Antuco","10",2013,50000
"46","Hombre","Menos de 5","Antuco","10",2014,99981
"47","Hombre","Menos de 5","Antuco","10",2015,60016
"48","Hombre","Menos de 5","Arauco","11",2010,37500
"49","Hombre","Menos de 5","Arauco","11",2011,45965
"50","Hombre","Menos de 5","Arauco","11",2012,63462
"51","Hombre","Menos de 5","Arauco","11",2013,99622
"52","Hombre","Menos de 5","Arauco","11",2014,114372
"53","Hombre","Menos de 5","Arauco","11",2015,51782
"54","Hombre","Menos de 5","Arica","12",2010,160157
"55","Hombre","Menos de 5","Arica","12",2011,173154
"56","Hombre","Menos de 5","Arica","12",2012,180926
"57","Hombre","Menos de 5","Arica","12",2013,221093
"58","Hombre","Menos de 5","Arica","12",2014,239955
"59","Hombre","Menos de 5","Arica","12",2015,280562
"60","Hombre","Menos de 5","Aysén","13",2010,182733
"61","Hombre","Menos de 5","Aysén","13",2011,179425
"62","Hombre","Menos de 5","Aysén","13",2012,255302
"63","Hombre","Menos de 5","Aysén","13",2013,207215
"64","Hombre","Menos de 5","Aysén","13",2014,249972
"65","Hombre","Menos de 5","Aysén","13",2015,200744
"66","Hombre","Menos de 5","Buin","14",2010,77522
"67","Hombre","Menos de 5","Buin","14",2011,79744
"68","Hombre","Menos de 5","Buin","14",2012,127293
"69","Hombre","Menos de 5","Buin","14",2013,232647
"70","Hombre","Menos de 5","Buin","14",2014,239824
"71","Hombre","Menos de 5","Buin","14",2015,268283
"72","Hombre","Menos de 5","Bulnes","15",2010,71367
"73","Hombre","Menos de 5","Bulnes","15",2011,98345
"74","Hombre","Menos de 5","Bulnes","15",2012,76055
"75","Hombre","Menos de 5","Bulnes","15",2013,88453
"76","Hombre","Menos de 5","Bulnes","15",2014,160000
"77","Hombre","Menos de 5","Bulnes","15",2015,87484
"78","Hombre","Menos de 5","Cabildo","16",2010,161855
