"","sex","isco","year","weighted_mean"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,222269.020004065
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,230134.539961963
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,233790.097132852
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,240137.42163429
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,280016.107611619
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,307538.195918394
"7","Hombre","Empleados de oficina",2010,357004.823813011
"8","Hombre","Empleados de oficina",2011,403586.207843028
"9","Hombre","Empleados de oficina",2012,412630.882113348
"10","Hombre","Empleados de oficina",2013,456460.512453443
"11","Hombre","Empleados de oficina",2014,471476.239636254
"12","Hombre","Empleados de oficina",2015,471109.293068638
"13","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2010,1447923.03160904
"14","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2011,1713845.54292321
"15","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2012,1703814.41017768
"16","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2013,1803606.32777404
"17","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2014,1764407.41013326
"18","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empresas",2015,2066526.60416549
"19","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,295731.936782856
"20","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,315676.072051855
"21","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,340776.851474802
"22","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,375794.314144322
"23","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,391538.247083875
"24","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,413847.717770399
"25","Hombre","Operadores de instalaciones y máquinas y montadores",2010,335971.210832711
"26","Hombre","Operadores de instalaciones y máquinas y montadores",2011,371610.595758943
"27","Hombre","Operadores de instalaciones y máquinas y montadores",2012,405172.120620609
"28","Hombre","Operadores de instalaciones y máquinas y montadores",2013,438059.892679773
"29","Hombre","Operadores de instalaciones y máquinas y montadores",2014,445316.374649056
"30","Hombre","Operadores de instalaciones y máquinas y montadores",2015,467504.905561802
"31","Hombre","Otros no identificados",2010,635727.055712506
"32","Hombre","Otros no identificados",2011,696239.891459409
"33","Hombre","Otros no identificados",2012,744287.894197292
"34","Hombre","Otros no identificados",2013,765213.401421434
"35","Hombre","Otros no identificados",2014,874293.818185438
"36","Hombre","Otros no identificados",2015,898056.498499751
