"","sex","icse","year","weighted_mean"
"1","Hombre","Asalariado Sector Privado",2010,398278.640216943
"2","Hombre","Asalariado Sector Privado",2011,430075.227977738
"3","Hombre","Asalariado Sector Privado",2012,484753.173062926
"4","Hombre","Asalariado Sector Privado",2013,512261.792063991
"5","Hombre","Asalariado Sector Privado",2014,528233.909696682
"6","Hombre","Asalariado Sector Privado",2015,562621.907255081
"7","Hombre","Asalariado Sector Público",2010,637116.285177645
"8","Hombre","Asalariado Sector Público",2011,714937.221789361
"9","Hombre","Asalariado Sector Público",2012,709541.490725165
"10","Hombre","Asalariado Sector Público",2013,811146.4692612
"11","Hombre","Asalariado Sector Público",2014,838752.575591019
"12","Hombre","Asalariado Sector Público",2015,946596.700751809
"13","Hombre","Cuenta Propia",2010,263326.339097229
"14","Hombre","Cuenta Propia",2011,285571.586828252
"15","Hombre","Cuenta Propia",2012,298005.134502817
"16","Hombre","Cuenta Propia",2013,312093.354450606
"17","Hombre","Cuenta Propia",2014,335000.697004023
"18","Hombre","Cuenta Propia",2015,347700.743859689
"19","Hombre","Empleador",2010,942311.898859664
"20","Hombre","Empleador",2011,1073242.15310808
"21","Hombre","Empleador",2012,1138539.112524
"22","Hombre","Empleador",2013,1180284.09028952
"23","Hombre","Empleador",2014,1101670.8541821
"24","Hombre","Empleador",2015,1303904.30127403
"25","Hombre","Personal de Servicio Doméstico Puertas Adentro",2010,284140.841494035
"26","Hombre","Personal de Servicio Doméstico Puertas Adentro",2011,288433.881995108
"27","Hombre","Personal de Servicio Doméstico Puertas Adentro",2012,217932.055761645
"28","Hombre","Personal de Servicio Doméstico Puertas Adentro",2013,214934.703988501
"29","Hombre","Personal de Servicio Doméstico Puertas Adentro",2015,549412.992512492
"30","Hombre","Personal de Servicio Doméstico Puertas Afuera",2010,175342.331525989
"31","Hombre","Personal de Servicio Doméstico Puertas Afuera",2011,184540.055366041
"32","Hombre","Personal de Servicio Doméstico Puertas Afuera",2012,179085.103235584
"33","Hombre","Personal de Servicio Doméstico Puertas Afuera",2013,220603.240776991
"34","Hombre","Personal de Servicio Doméstico Puertas Afuera",2014,242944.862734194
"35","Hombre","Personal de Servicio Doméstico Puertas Afuera",2015,268914.091712497
"36","Mujer","Asalariado Sector Privado",2010,313014.245230743
"37","Mujer","Asalariado Sector Privado",2011,340961.837276495
"38","Mujer","Asalariado Sector Privado",2012,380779.230751099
"39","Mujer","Asalariado Sector Privado",2013,393067.038026539
"40","Mujer","Asalariado Sector Privado",2014,423751.446358331
"41","Mujer","Asalariado Sector Privado",2015,442065.894080571
"42","Mujer","Asalariado Sector Público",2010,441673.392395692
"43","Mujer","Asalariado Sector Público",2011,462214.242669509
"44","Mujer","Asalariado Sector Público",2012,517719.989653553
"45","Mujer","Asalariado Sector Público",2013,583566.221545956
"46","Mujer","Asalariado Sector Público",2014,599176.77840824
"47","Mujer","Asalariado Sector Público",2015,653643.874571721
"48","Mujer","Cuenta Propia",2010,158769.312218665
"49","Mujer","Cuenta Propia",2011,158409.197159831
"50","Mujer","Cuenta Propia",2012,173289.937080994
"51","Mujer","Cuenta Propia",2013,171102.015929552
"52","Mujer","Cuenta Propia",2014,198945.719620376
"53","Mujer","Cuenta Propia",2015,203602.425033386
"54","Mujer","Empleador",2010,636248.729509298
"55","Mujer","Empleador",2011,776485.881880968
"56","Mujer","Empleador",2012,856830.654647645
"57","Mujer","Empleador",2013,751273.366808941
"58","Mujer","Empleador",2014,863969.567188184
"59","Mujer","Empleador",2015,846251.628805487
"60","Mujer","Personal de Servicio Doméstico Puertas Adentro",2010,216611.369166329
"61","Mujer","Personal de Servicio Doméstico Puertas Adentro",2011,247840.659994883
"62","Mujer","Personal de Servicio Doméstico Puertas Adentro",2012,242961.569260853
"63","Mujer","Personal de Servicio Doméstico Puertas Adentro",2013,314968.08808363
"64","Mujer","Personal de Servicio Doméstico Puertas Adentro",2014,325344.960434218
"65","Mujer","Personal de Servicio Doméstico Puertas Adentro",2015,327568.372172137
"66","Mujer","Personal de Servicio Doméstico Puertas Afuera",2010,123971.140374196
"67","Mujer","Personal de Servicio Doméstico Puertas Afuera",2011,132769.746717436
"68","Mujer","Personal de Servicio Doméstico Puertas Afuera",2012,151271.138696882
"69","Mujer","Personal de Servicio Doméstico Puertas Afuera",2013,160280.668346556
"70","Mujer","Personal de Servicio Doméstico Puertas Afuera",2014,170323.179725103
"71","Mujer","Personal de Servicio Doméstico Puertas Afuera",2015,205151.681772981
