"","sex","work_day","year","weighted_mean"
"1","Hombre","Completa",2010,452040.375316446
"2","Hombre","Completa",2011,489576.946246662
"3","Hombre","Completa",2012,536685.754979255
"4","Hombre","Completa",2013,570790.660240156
"5","Hombre","Completa",2014,582061.216281687
"6","Hombre","Completa",2015,631255.031176838
"7","Hombre","Parcial",2010,183805.495475431
"8","Hombre","Parcial",2011,200814.590579686
"9","Hombre","Parcial",2012,228835.807008072
"10","Hombre","Parcial",2013,245810.874698597
"11","Hombre","Parcial",2014,258119.963767721
"12","Hombre","Parcial",2015,250103.476514928
"13","Mujer","Completa",2010,335116.53538348
"14","Mujer","Completa",2011,354552.192799834
"15","Mujer","Completa",2012,407277.124990468
"16","Mujer","Completa",2013,424608.680250569
"17","Mujer","Completa",2014,454310.051385971
"18","Mujer","Completa",2015,476175.217633179
"19","Mujer","Parcial",2010,129736.47450203
"20","Mujer","Parcial",2011,140232.757132268
"21","Mujer","Parcial",2012,142154.890151301
"22","Mujer","Parcial",2013,155432.317248563
"23","Mujer","Parcial",2014,177453.895061741
"24","Mujer","Parcial",2015,180888.617917707
