"","sex","isco","geography_name","geography_id","year","ub_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo","1",2010,152210
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo","1",2012,251405
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Algarrobo","1",2014,101042
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2010,530397
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2011,288112
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2012,180000
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2013,232000
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2014,278951
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto del Carmen","4",2015,278581
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2010,271038
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2011,604693
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2012,231293
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2013,300407
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2014,530000
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Alto Hospicio","5",2015,500000
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2010,198601
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2011,152941
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2012,257705
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2013,219775
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2014,394881
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Ancud","6",2015,335091
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2010,153895
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2011,150725
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2012,213192
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Andacollo","7",2014,181876
