year,region_id,primary_healthcare,specialized_healthcare,urgency_healthcare,dental_discharges_per_100_inhabitants
2010,15,165015,135729,142843,4.12
2011,15,142473,121894,139060,7.529999999999999
2012,15,144616,121894,157418,8.049
2013,15,137689,129723,147580,7.904000000000001
2014,15,140102,129878,159323,13.896
2010,1,325527,112939,361820,4.618
2011,1,287477,133514,376489,6.022
2012,1,242850,133514,396820,6.795999999999999
2013,1,232784,140421,407474,6.494
2014,1,218505,137826,427615,14.055000000000001
2010,2,283339,182590,460946,2.669
2011,2,302912,173353,439616,4.083
2012,2,316166,173353,453396,4.628
2013,2,292572,170726,436192,4.204
2014,2,329050,179347,478356,7.915000000000001
2010,3,218521,102098,366170,4.202
2011,3,194992,98397,346172,6.509
2012,3,171931,98397,328700,5.699
2013,3,150638,104401,303289,5.727
2014,3,169399,113519,276841,9.349
2010,4,627597,267212,669978,4.068
2011,4,598676,268417,661262,5.758
2012,4,567927,268417,726998,5.906000000000001
2013,4,546387,274100,705971,5.976
2014,4,562448,274577,733861,11.059000000000001
2010,5,1680045,691927,2164805,6.7219999999999995
2011,5,1672222,703761,2168123,8.843
2012,5,1662926,703761,2248070,8.498999999999999
2013,5,1480277,703826,2131660,7.9030000000000005
2014,5,1458432,699718,2164201,14.312999999999999
2010,13,6304959,2994545,6873944,5.817
2011,13,6349104,2961367,6920856,7.420999999999999
2012,13,6228543,2961367,7144130,7.409000000000001
2013,13,6009471,2926422,6932859,7.069
2014,13,5883413,2929941,6817842,12.664
2010,6,961678,259049,828592,3.682
2011,6,942009,285552,852358,5.206
2012,6,922786,285552,914330,5.154
2013,6,865093,308473,906620,5.672
2014,6,926066,289258,888184,9.251999999999999
2010,7,878087,334045,1198928,5.287
2011,7,915565,321921,1224991,8.431000000000001
2012,7,989868,321921,1308265,8.85
2013,7,988643,337074,1303654,8.225
2014,7,1033107,389238,1274766,15.155000000000001
2010,8,2319322,931715,2610350,6.176
2011,8,2395024,1012021,2660525,8.636
2012,8,2401988,1012021,2811749,8.468
2013,8,2262491,1009662,2773769,7.815
2014,8,2266961,1056231,2751547,13.181999999999999
2010,9,1022706,326394,1071559,5.662
2011,9,1056250,369292,1104894,7.9510000000000005
2012,9,1055884,369292,1226644,7.845000000000001
2013,9,998818,375486,1227590,7.185
2014,9,1051889,395409,1239758,13.168000000000001
2010,14,353191,185430,590884,6.7700000000000005
2011,14,364408,187249,553449,9.287
2012,14,378713,187249,586652,9.148
2013,14,324522,191957,568040,9.273
2014,14,304286,205457,550514,15.532
2010,10,859720,373581,1032038,6.894
2011,10,814047,360756,960884,10.052
2012,10,808255,360756,1029990,9.664
2013,10,750788,372542,1018268,8.554
2014,10,710132,366931,1046158,15.596
2010,11,123292,53260,148735,5.236
2011,11,121655,49435,154389,8.722
2012,11,123660,49435,156956,7.999
2013,11,130310,61925,149780,6.606
2014,11,136847,68908,154526,11.111
2010,12,130989,84151,206255,4.721
2011,12,135659,90312,203680,8.022
2012,12,139206,90312,202627,7.764
2013,12,123309,93933,214582,7.812
2014,12,124837,102397,221447,11.190000000000001
