year,region_id,sex_id,life_expectancy,mortality_rate_per_100_inhabitants
2010,15,2,75.2,0.6799999999999999
2010,15,1,82.09,0.55
2011,15,2,75.2,0.72
2011,15,1,82.09,0.49000000000000005
2012,15,2,75.2,0.7
2012,15,1,82.09,0.6
2013,15,2,75.2,0.6
2013,15,1,82.09,0.48
2014,15,2,75.2,0.55
2014,15,1,82.09,0.47000000000000003
2010,1,2,75.74,0.45
2010,1,1,75.74,0.36
2011,1,2,75.74,0.45
2011,1,1,75.74,0.36
2012,1,2,75.74,0.43
2012,1,1,75.74,0.37
2013,1,2,75.74,0.49000000000000005
2013,1,1,75.74,0.41
2014,1,2,75.74,0.47000000000000003
2014,1,1,75.74,0.39
2010,2,2,73.34,0.52
2010,2,1,78.75,0.44000000000000006
2011,2,2,73.34,0.49000000000000005
2011,2,1,78.75,0.43
2012,2,2,73.34,0.5
2012,2,1,78.75,0.45
2013,2,2,73.34,0.51
2013,2,1,78.75,0.41
2014,2,2,73.34,0.54
2014,2,1,78.75,0.45999999999999996
2010,3,2,75.28,0.5700000000000001
2010,3,1,81.19,0.42000000000000004
2011,3,2,75.28,0.5599999999999999
2011,3,1,81.19,0.47000000000000003
2012,3,2,75.28,0.55
2012,3,1,81.19,0.47000000000000003
2013,3,2,75.28,0.53
2013,3,1,81.19,0.43
2014,3,2,75.28,0.51
2014,3,1,81.19,0.45
2010,4,2,76.13,0.58
2010,4,1,82.02,0.48
2011,4,2,76.13,0.5700000000000001
2011,4,1,82.02,0.47000000000000003
2012,4,2,76.13,0.58
2012,4,1,82.02,0.5
2013,4,2,76.13,0.61
2013,4,1,82.02,0.49000000000000005
2014,4,2,76.13,0.5900000000000001
2014,4,1,82.02,0.5
2010,5,2,74.93,0.6900000000000001
2010,5,1,80.27,0.61
2011,5,2,74.93,0.6599999999999999
2011,5,1,80.27,0.6
2012,5,2,74.93,0.67
2012,5,1,80.27,0.63
2013,5,2,74.93,0.6900000000000001
2013,5,1,80.27,0.63
2014,5,2,74.93,0.71
2014,5,1,80.27,0.63
2010,13,2,75.62,0.5599999999999999
2010,13,1,81.05,0.51
2011,13,2,75.62,0.55
2011,13,1,81.05,0.5
2012,13,2,75.62,0.55
2012,13,1,81.05,0.51
2013,13,2,75.62,0.55
2013,13,1,81.05,0.51
2014,13,2,75.62,0.5599999999999999
2014,13,1,81.05,0.52
2010,6,2,74.95,0.62
2010,6,1,80.22,0.52
2011,6,2,74.95,0.61
2011,6,1,80.22,0.48
2012,6,2,74.95,0.64
2012,6,1,80.22,0.53
2013,6,2,74.95,0.63
2013,6,1,80.22,0.51
2014,6,2,74.95,0.65
2014,6,1,80.22,0.52
2010,7,2,74.37,0.7
2010,7,1,79.77,0.58
2011,7,2,74.37,0.6599999999999999
2011,7,1,79.77,0.51
2012,7,2,74.37,0.6799999999999999
2012,7,1,79.77,0.5599999999999999
2013,7,2,74.37,0.7
2013,7,1,79.77,0.55
2014,7,2,74.37,0.6599999999999999
2014,7,1,79.77,0.54
2010,8,2,74.13,0.6900000000000001
2010,8,1,80.64,0.54
2011,8,2,74.13,0.62
2011,8,1,80.64,0.52
2012,8,2,74.13,0.64
2012,8,1,80.64,0.54
2013,8,2,74.13,0.6599999999999999
2013,8,1,80.64,0.54
2014,8,2,74.13,0.6599999999999999
2014,8,1,80.64,0.55
2010,9,2,74.48,0.6900000000000001
2010,9,1,80.51,0.6
2011,9,2,74.48,0.67
2011,9,1,80.51,0.53
2012,9,2,74.48,0.6599999999999999
2012,9,1,80.51,0.5599999999999999
2013,9,2,74.48,0.7
2013,9,1,80.51,0.58
2014,9,2,74.48,0.6900000000000001
2014,9,1,80.51,0.5599999999999999
2010,14,2,74.15,0.77
2010,14,1,80.06,0.62
2011,14,2,74.15,0.72
2011,14,1,80.06,0.58
2012,14,2,74.15,0.75
2012,14,1,80.06,0.63
2013,14,2,74.15,0.6900000000000001
2013,14,1,80.06,0.5700000000000001
2014,14,2,74.15,0.71
2014,14,1,80.06,0.5900000000000001
2010,10,2,73.24,0.63
2010,10,1,80.19,0.5
2011,10,2,73.24,0.63
2011,10,1,80.19,0.48
2012,10,2,73.24,0.64
2012,10,1,80.19,0.54
2013,10,2,73.24,0.6799999999999999
2013,10,1,80.19,0.55
2014,10,2,73.24,0.67
2014,10,1,80.19,0.54
2010,11,2,74.13,0.6799999999999999
2010,11,1,83.6,0.51
2011,11,2,74.13,0.5900000000000001
2011,11,1,83.6,0.49000000000000005
2012,11,2,74.13,0.64
2012,11,1,83.6,0.47000000000000003
2013,11,2,74.13,0.54
2013,11,1,83.6,0.38
2014,11,2,74.13,0.53
2014,11,1,83.6,0.36
2010,12,2,73.81,0.7
2010,12,1,80.35,0.53
2011,12,2,73.81,0.65
2011,12,1,80.35,0.5700000000000001
2012,12,2,73.81,0.67
2012,12,1,80.35,0.5900000000000001
2013,12,2,73.81,0.6799999999999999
2013,12,1,80.35,0.5
2014,12,2,73.81,0.74
2014,12,1,80.35,0.5900000000000001
