candidato_id,candidato
161,Luis Esteban Pizarro Veliz
162,Salvador Victor Ojeda Vasquez
163,Juan Carlos Ruz Herrera
164,Cristobal Saez Valdebenito
165,Cristian Raul Avila Cerda
166,Camila Vallejo Dowling
167,Gustavo Hasbun Selume
168,Ximena Ossandon Irarrazabal
169,Patricio Basso Gallo
170,Jose Antonio Henriquez Muniz
171,Max Saldana Carrasco
172,Rafael Soto Contreras
173,Patricio Altamirano Arancibia
174,Inglea Collao Gazmuri
175,Paola Vidal Vergara
176,Rodrigo Cortez Sasso
177,Tucapel Jimenez Fuentes
178,Daniel Melo Contreras
179,Jorge Alessandri Vergara
180,Mario Desbordes Jimenez
181,Varinia Yuseth Aravena Perez
182,David Ulises Mateluna Lagos
183,Sergio Hernan Larrain Sanchez
184,Ingrid Araus Vera
185,Miguel Serrano Spaltman
186,Guillermo Teillier del Valle
187,Pedro Browne Urrejola
188,Ignacia Golborne Piccardo
189,Alejandro Anselmo Sule Fernandez
190,Juan Luis Lemunir Epuyao
191,Felipe Augusto Duran Martinez
192,Carlos Ripetti Pena
193,Matias Freire Vallejos
194,Nancy Domitila Orellana Varas
195,Osvaldo Andrade Lara
196,Leopoldo Perez Lahsen
197,Patricio Laguna Gebauer
198,Marcela Labrana Santana
199,Victor Ortiz Avendano
200,Lucy Ovando Vasquez
201,Gonzalo Eduardo Iniguez Gonzalez
202,Larry Garate Rivera
203,Adrian Barahona Dieguez
204,Marcos Andres Espinosa Monardes
205,Felipe Ward Edwards
206,Daniel Agusto Perez
207,Cristian Cuevas Zambrano
208,Wilson Manuel Reyes Araya
209,Bernardo Hevia Garrido
210,Luis Armando Contreras Rivera
211,Pablo Onell Aracena
212,Leonardo Soto Ferrada
213,Jaime Bellolio Avaria
214,Carlos Cruz-Coke Carvallo
215,Marisela del Carmen Santibanez Novoa
216,Nicolas Malcoux Henriquez Suazo
217,David Morales Nordetti
218,Carlos Andres Mancilla Ortiz
219,Felix Antonio Marinao Flores
220,Henry Rutconsky Figueroa
221,Ignacio Andres Seguel Robles
222,Denise Pascal Allende
223,Juan Antonio Coloma Alamos
224,Jessica Mualim Fajuri
225,Patricio Gonzalez Dolz
226,Francisco Alberto Parra Pinto
227,Jorge Madriaga Celis
228,Manuel Retamal Jara
229,Esperanza Priscila Rubio Abarca
230,Marcelo Lopez Salazar
231,Arsenio Alvarez Armijo
232,Juan Luis Castro Gonzalez
233,Issa Kort Garriga
234,Pamela Medina Schulz
235,Eduardo Javier Vergara Bolbaran
236,Ricardo Cerda Arancibia
237,Ivan Acosta Galaz
238,Ricardo Rincon Gonzalez
239,Felipe Letelier Norambuena
240,Patricio Rey Sommer
241,Lucia Munoz Sandoval
242,Carlos Enrique Ortega Aedo
243,Cristian Alfredo Rojas Donoso
244,Antonio Rojas Espinoza
245,Victor Lagunas Leon
246,Alejandra Sepulveda Orbenes
247,Javier Macaya Danus
248,Juan Pablo Camiruaga Espinola
249,Juan de Dios Parra Sepulveda
250,Miguel Gonzalez Feliu
251,Benjamin Nelson Araneda Gonzalez
252,Victor Hugo Camilla Reyes
253,Camilo Rice Schumacher
254,Sergio Espejo Yaksic
255,Ramon Barros Montero
256,Romina Fernandez Gatica
257,Anibal Perez Lobos
258,Cristian Salinas Herrera
259,Eduardo Tobar Lagos
260,Washington Leoncio Araneda Carrasco
261,Hector Miguel Littin Luengo
262,Roberto Leon Ramirez
263,Celso Morales Munoz
264,Sergio Correa Espinosa
265,Sergio Monsalve Vergara
266,Paola Parra
267,Luis Fernando Bravo Quijada
268,Miguel Angel Mino Lillo
269,Sergio Patricio Aguilo Melo
270,German Verdugo Soto
271,Juan Valdebenito Mansilla
272,Maria Elena Villagran Paredes
273,Carlos Felipe Drews Rubilar
274,Alvaro Adriano Monsalve Salas
275,Marcelo Rioseco Pais
276,Pablo Lorenzini Basso
277,Pedro Pablo Alvarez-Salamanca Ramirez
278,Catalina Parot Donoso
279,Mauricio Munoz Rojas
280,Jorge Tarud Daccarett
281,Romilio Gutierrez Pino
282,Rodrigo Iturriaga Delgado
283,Jaime Naranjo Ortiz
284,Yanis Maria Vergara Encina
285,Rafael Esteban Correa Orellana
286,Sergio Carvajal Cadiz
287,Marcela Ximena Hernando Perez
288,Paulina Nunez Urrutia
289,Eslayne Portilla Barraza
290,Valentin Volta Valencia
291,Jonathan Rodrigo Velasquez Ramirez
292,Alejandro Manriquez Piccinini
293,Alvaro Fernando Fernandez Slater
294,Guillermo Antonio Acuna Chavez
295,Miguel Angel Abarca Araya
296,Guillermo Ceroni Fuentes
297,Ignacio Urrutia Bonilla
298,Jose Ignacio Pinochet Olave
299,Manuel Matta Aragay
300,Alejandro Viovy Apablaza
301,Luciano Andres Luman Luman
302,Carlos Abel Jarpa Wevar
303,Rosauro Martinez Labbe
304,Rodrigo Sandoval Teran
305,Carlos Arzola Burgos
306,Carmen Gloria Cornejo Soto
307,Ricardo Mauricio Mora Munoz
308,Jorge Sabag Villalobos
309,Loreto Carvajal Ambiado
310,Frank Sauerbaum Munoz
311,Jaime Guilisasti Palacios
312,Hector Arriagada Parra
313,Cristian Campos Jara
314,Jorge Ulloa Aguillon
315,Jorge Madariaga Burrows
316,Raul Sunico Galdames
317,Jose Alejandro Lopez Cartes
318,Mauricio Concha Alarcon
319,Jorge Osvaldo Monje Chavez
320,Marcel Coindreau Maldonado
321,Jose Miguel Ortiz Novoa
322,Enrique Van Rysselberghe Herrera
323,Francesca Munoz Gonzalez
324,Jaime Soto Figueroa
325,Daniel Rozas Parada
326,Claudia Arriagada Parra
327,Alexis Leonardo Silva Navarrete
328,Arturo Eduardo Espinoza Brower
329,Francisco Cordova Echeverria
330,Claudia Kriman Chocano
331,Clemira Pacheco Rivas
332,Marcelo Chavez Velasquez
333,Sergio Bobadilla Munoz
334,Carlos Urrestarazu Carrion
335,Gonzalo Eduardo Reyes Munoz
336,Luis Fraczinet Chavez
337,Hernan Mauricio Cortes Bernal
338,Lorenna Arce Orellana
339,Ana Maria Herrera Ceballos
340,Roberto Andres Francesconi Riquelme
341,Domingo Montecinos Osses
342,Manuel Monsalve Benavides
343,Ivan Norambuena Farias
344,Carlos Martinez Hernandez
345,Joanna Perez Olea
346,Margarita Lobos Gutierrez
347,Elisa Ludgardis Landero Sanchez
348,Jose Perez Arriagada
349,Roberto Poblete Zapata
350,Cristobal Urruticoechea Rios
351,Joel Rosales Guzman
352,Enrique Krause Lobos
353,Juan Jose Torres Paredes
354,Barbara Paz Ulloa Perez
355,Antonio Gutierrez Bravo
356,Mario Venegas Cardenas
357,Jorge Rathgeb Schifferli
358,Gonzalo Arenas Hodar
359,Valeria Rain Calfiman
360,Diego Alexis Ancalao Gavilan
361,Fuad Chahin Valenzuela
362,Diego Paulsen Kehr
363,Enrique Estay Penaloza
364,Marcelo Segura Herrera
365,Marcelino Collio Calcomin
366,Gloria Mujica Ascui
367,Lautaro Carmona Soto
368,Daniella Cicardini Milla
369,Carlos Vilches Guzman
370,Baldo Violic Astorga
371,Federico Fernando Ewert Daza
372,Paulo Cesar Macias Urizar
373,Alexis Mauricio Roger Barros
374,Rene Saffirio Espinoza
375,German Becker Alvear
376,Ximena Urzua Zirotti
377,Romina Tuma Zeidan
378,Marco Lobos Vasquez
379,Hugo Herrera Vidal
380,Luis Fernando Vivanco Manriquez
381,Andre Cabrolier Sanhueza
382,Joaquin Tuma Zedan
383,Jose Manuel Edwards Silva
384,Mauricio Ojeda Rebolledo
385,Juan Carlos Paillalef Alarcon
386,Alexander Lavin Molina
387,Fernando Meza Moncada
388,Rene Manuel Garcia Garcia
389,Francisco Reyes Salgado
390,Jose Montalva Feuerhake
391,Jose Castro Mendez
392,Ivan Flores Garcia
393,Bernardo Berger Fett
394,Remza Delic Sasso
395,Boris Olguin Morales
396,Maria Angelica Alvear Montecinos
397,Hugo Gerter Jara
398,Pablo Andres Moya Nunez
399,Edwin Rene Arancibia Rojas
400,Enrique Jaramillo Becker
401,Gonzalo Fuenzalida Figueroa
402,Gaston Von Muhlenbrock Zamora
403,Patricio Ulloa Heinsohn
404,Paolo Alexander Alderete Perez
405,Rodrigo Erazo Walton
406,Sergio Ojeda Uribe
407,Javier Hernandez Hernandez
408,Rodrigo Carrasco Arata
409,Gustavo Salvo Pereira
410,Juan Carlos Soto Sanhueza
411,Samuel Hernan Guzman Traimun
412,Mario Jacinto Gonzalez Esparza
413,Vicente Alberto Papic Arce
414,Fidel Espinoza Sandoval
415,Felipe de Mussy Hiriart
416,Marcelo Ruiz Alvarez
417,Adolfo Alvial Munoz
418,Orietta Llauca Huala
419,Veronica Graciela Cifuentes Gutierrez
420,Donald Javier Salgado Mac-Conell
421,Luis Felipe Zuniga Obando
422,Mauricio Alejandro Henriquez Barria
423,Patricio Vallespin Lopez
424,Marisol Turres Figueroa
425,Luis Masferrer Farias
426,Leopoldo Pineda Herrera
427,Jose Roberto Aburto Barria
428,Carol Paulina Vukasovic Montt
429,Gonzalo Miguel Valenzuela Oyarzo
430,Mario Eduardo Paredes Lopez
431,Jenny Alvarez Vera
432,Alejandro Santana Tirachini
433,Pablo Santiago Livesey
434,Mauricio Henriquez Sandoval
435,Victor Hugo Bahamonde Brintrup
436,Susana de Lourdes Garces Remolcoy
437,Heriberto Federico Diaz Lipski
438,Maria Gladis Oyarzo Zuniga
439,Ivan Fuentes Castillo
440,David Sandoval Plaza
441,Antonio Horvath Gutierrez
442,Viviana Betancourt Gallegos
443,Rene Alinco Bustos
444,Victor Acevedo Rivera
445,Claudia Andrea Torres Delgado
446,Yasna Provoste Campillay
447,Alberto Robles Pantoja
448,Jaime Mulet Martinez
449,Andres Astudillo Benitez
450,Giovanni Calderon Bassi
451,Patricio Urquieta Garcia
452,Gabriel Boric Font
453,Juan Enrique Morano Cornejo
454,Domingo Rubilar Ruiz
455,Sandra Amar Mancilla
456,Gloria Vilicic Pena
457,Karim Bianchi Retamales
458,Rodrigo Utz Contreras
459,Margarita Novakovic Kalasich
460,Jorge Patricio Ivelic Suarez
461,Raul Saldivar Auger
462,Sergio Gahona Salazar
463,Pablo Argandona Medina
464,Ernesto Velasco Rodriguez
465,Julio Moises Zapata Rodriguez
466,Kenneth Arnaldo Romero Quiroz
467,Luz Eliana Rojas Zambra
468,Matias Walker Prieto
469,Daniel Nunez Arancibia
470,Susana Verdugo Baraona
471,Joyce Llewellyn Tame
472,Pedro Antonio Velasquez Seguel
473,Elizabeth Pizarro Olivares
474,Roberto Perez Cristia
475,Daniella Cortes Bauer
476,Luis Lemus Aracena
477,Jorge Enrique Insunza Gregorio de Las Heras
478,Ivan Cisternas Tapia
479,Fernando Herman Herrera
480,Alberto Chavez Astudillo
481,Jose Antonio Salinas Pinto
482,Jaime Orpis Bouchon
483,Rossi Ciocca Fulvio
484,Daniel Espinoza Cavieres
485,Urrutia Cardenas Salvador
486,Julio Lagos Cosgrove
487,Andres Zaldivar Larrain
488,Juan Antonio Coloma Correa
489,Robert Morrison Munro
490,Jaime Gazmuri Mujica
491,Mercedes Bravo Valenzuela
492,Ximena Rincon Gonzalez
493,Hernan Larrain Fernandez
494,Juan Ariztia Correa
496,Marilen Cabrera Olmos
497,Alberto Espina Otero
498,Jaime Quintana Leal
500,Cecilia Villouta Carpinello
501,Roberto Munoz Barra
502,Enrique Sanhueza Burgoa
503,Juan Enrique Prieto Urzua
504,Eugenio Tuma Zedan
505,Jose Garcia Ruminot
506,Ena Von Baer Jahn
507,Francisco Huenchumilla Jaramillo
508,Eduardo Diaz del Rio
509,Jose Villagran Sandoval
511,Patricio Walker Prieto
512,Antonio Horvath Kiss
513,Eduardo Cruces Burgos
514,Paz Foitzich Sandoval
516,Isabel Allende Bussi
517,Baldo Prokurica Prokurica
518,Cristian Letelier Aguilar
519,Antonio Leal Labrin
521,Robinson Pena Moraleda
522,Lily Perez San Martin
523,Ignacio Walker Prieto
524,Nelson Avila Contreras
525,Marcelo Forni Lobos
526,Carlos Ominami Pascual
527,Cristian Garcia-Huidobro Lira
528,Lautaro Velasquez Carrasco
529,Francisco Chahuan Chahuan
530,Ricardo Lagos Weber
531,Hernan Pinto Miranda
532,Joaquin Lavin Infante
533,Juan Guzman Tapia
534,Raul Silva Vergara
535,Alejandro Navarro Brain
536,Jacqueline Van Rysselberghe Herrera
537,Daniel Contesse Gonzalez
538,Camilo Escalona Medina
539,Rafael Eduardo Garay Pita
540,Osman Lenin Vasquez Varela
541,Graciela Gonzalez Gatica
542,Javier Sandoval Ojeda
543,Loreto Munoz Gutierrez
544,Felipe Harboe Bascunan
545,Victor Perez Varela
546,Rosa Oyarce Suazo
547,Hosain Sabag Castillo
548,Juanita Odett Carrasco Fray
549,Hector Joaquin Seguel San Martin
550,Alfonso de Urresti Longton
552,Fernando Andres Schultz Oettinger
553,Abernego Mardones Riquelme
554,Alejandro Aravena Retamal
555,Dulcelina Yolanda Isabel Candia Oakley
556,Rodrigo Munoz Figueroa
557,Rabindranath Quinteros Lara
558,Ivan Moreira Barros
559,Carlos Ignacio Kuschel Silva
560,Gabriel Ascencio Mansilla
561,Carolina Goic Boroevic
562,Carlos Bianchi Chelech
563,Sergio Tapia Ogeda
564,Miodrag Marinovic Solo de Zaldivar
565,Francisco Berger Dempster
566,Pedro Munoz Aburto
567,Alejandro Guillier Alvarez
568,Pedro Araya Guerrero
569,Manuel Rojas Molina
570,Carlos Cantero Ojeda
571,Daniel Andres Guevara Cortes
572,Jimena Estrella Orrego Henriquez
573,Gisela Contreras Brana
574,Jorge Pizarro Soto
575,Adriana Munoz D'albora
576,Gonzalo Uriarte Herrera
577,Mario Bertolino Rendic
578,Luis Vega Gonzalez
579,Guido Girardi Lavin
580,Andres Allamand Zavala
581,Pablo Zalaquett Said
582,Alberto Undurraga Vicuna
583,Eduardo Gutierrez Gonzalez
584,Sergio Enrique Flores Ramirez
585,Wilfredo Alfsen Ovando
586,Carlos Alberto Munoz Flores
587,Manuel Jose Ossandon Irarrazabal
588,Carlos Montes Cisternas
589,Soledad Alvear Valenzuela
590,Laurence Golborne Riveros
591,Jose Antonio Carreno Fraile
592,Esteban Valerio Silva Cuadra
593,Luis Mariano Rendon Escobar
594,Ivan Carrasco Mora
595,Juan Guillermo Ossa Lagarrigue
596,Patricio Guzman Sinkovich
597,Juan Pablo Letelier Morel
598,Alejandro Garcia-Huidobro Sanfuentes
599,Alberto Cardemil Herrera
600,Juan Carlos Latorre Carmona
601,Luis Felipe Garcia Merino
602,Jose Luis Yanez Maldonado
603,Santiago Enrique Vera Torrealba
604,Guillermo Urquiza Tapia
605,Victor Pinto Munoz
606,Luis Ernesto Ahumada Hormazabal
607,Roberto Torres Huerta
608,Fidel Valenzuela Madrid
609,Nivaldo Eusebio Pinaleo Llaulen
610,Felix Segundo Vita Manquepi
611,Carmen Bou Bou
612,Gudelio Ramirez Ibarbe
613,Patricio Elias Ferreira Rivera
614,Ramon Galleguillos Castillo
615,German Antonio Quiroz Cancino
616,Daniel Josue Sola Alfaro
617,Ruben Alejandro Lopez Parada
618,Farid Llamil Danilla Amudio
619,Carlos Gomez Miranda
620,Federico Kruger Finsterbusch
621,Soledad Moreno Nunez
622,Juan Carlos Alfaro Aravena
623,Angela Guerra Araya
624,Rene Alex Olivarez Cortes
625,Enrique Neira Neira
626,Tamara Antonietta Carvajal Sagredo
627,Karen Paulina Rojo Venegas
628,Manuel Ernesto Rojas Molina
629,Daniel Ernesto Adaro Silva
630,Ricardo Heriberto Diaz Cortes
631,Andrea Merino Diaz
632,Jaime Araya Guerrero
633,Jennifer Violeta Mundaca Grez
634,Jorge Perez Jelves
635,Miguel Abuter Leon
636,Claudio Andres Reyes Jelves
637,Mauricio Alejandro Saldias Parra
638,Jaime Fernando Hohmann Gallegos
639,Mauricio Alarcon Guzman
640,Nelson Leal Espinoza
641,Walter Rodriguez Leal
642,Gerardo Espindola Rojas
643,Rodrigo Cuevas Troncoso
644,Jose Durana Semir
645,Andrea Murillo Neumann
646,Jose Gustavo Lee Rodriguez
647,Christian Rodrigo Alvarez Mancilla
648,Andrea Perez Cortes
649,Bernardo Olivos Azua
650,Marcos Navarro Argandona
651,Anibal Diaz Gonzalez
652,Gabriel Alamo Alamo
653,Oscar Servando Catalan Sanchez
654,Marcelo Rodriguez Aviles
655,Miguel Araya Lobos
656,Angel Bozan Ramos
657,Rodrigo Humberto Cerda Candia
658,Pedro Nunez Cerda
659,Jorge Napoleon Hidalgo Onate
660,Guillermo Alejandro Yeber Rodriguez
661,Ricardo Soto Torres
662,Ernesto Sanchez Fuentes
663,Alberto Patricio Aliaga Diaz
664,Victor Donoso Oyanedel
665,Patricio Fernandez Alarcon
666,Rodolfo Moncada Salazar
667,Mario Alejandro Gierke Quevedo
668,Hasan Sabag Castillo
669,Jorge Brito Gajardo
670,Oscar Ordenes Guinez
671,Angelique Nicole Araya Hernandez
672,Esteban Jorge Velasquez Nunez
673,Sandra Jeanette Cortes Diaz
674,Omer Emeth Torres Mora
675,Patricia Alejandra Rodriguez Chelmes
676,Juan de Dios Alfaro Cutipa
677,Ruben Cardenas Gomez
678,Felipe Maluenda Araya
679,Paulino Diaz Ruiz
680,Francisco Oyarzun Gallardo
681,Ursus Barria Fuentes
682,Brunilda Clementina Gonzalez Anjel
683,Patricia Gonzalez Brizuela
684,Gregorio Campusano Dorador
685,Cecilia del Pilar Martinez Diaz
686,Trinidad Rojo Agusto
687,Eduardo Martinez Machuca
688,Donna Herrera Barrera
689,Sonia Rasjido Avalos
690,Jose Enrique Orrego Gonzalez
691,Carlos Enrique Donoso Iric
692,Erasmo Valenzuela Santibanez
693,Alejandra Novoa Sandoval
694,Nelson Venegas Salazar
695,Luis Gormas Sanchez
696,Francisco Ricardo Calderon Arcos
697,Ivan Martin Romero Menacho
698,Martin Montecinos Romero
699,Sixto Garcia Caceres
700,Evelyn Maria Mamani Viza
701,Lucy Uribe Caipa
702,Doris Aguilera Santos
703,Bernardo Leyton Lemus
704,Norman Araya Araya
705,Jorge Radonich Barra
706,Abraham Silva Sanhueza
707,Miguel Angel Palta Sarmiento
708,Alejandro Saez Veliz
709,Pedro Gabriel Vera Paredes
710,Rodrigo Garcia Tapia
711,Marco Verdala Urzua
712,Claudio Poblete Herrera
713,Rodrigo Martinez Roca
714,Susana Pinto Alcayaga
715,Juan Eduardo Vera Sanhueza
716,Nelson Hugo Aguila Serpa
717,Pedro Isaias Villagra Cordero
718,Yerko Robinson Trivinho Garcia de Castro
719,Boris Luksic Nieto
720,Claudio Nunez Cataldo
721,Juan Carlos Munoz Rojas
722,Rodolfo Aranda Villanueva
723,Arturo Aguirre Gacitua
724,Mauro Tamayo Rozas
725,Luis Plaza Sanchez
726,Luis Molina Gaete
727,Oriele Nunez Serrano
728,Alejandro Oyarzun Toro
729,Clara Lazcano Fernandez
730,Pedro Vasquez Celedon
731,Hector Navarro Garcia
732,Viviana Escarlette Diaz Meza
733,Jose Anibal Perez Meza
734,Raul Salas Aguilera
735,Hector Antonio Volta Rojas
736,Aldo Hernan Tapia Donoso
737,Javier Varas Naranjo
738,Rebeca Cofre Calderon
739,Fabian Andres Soto Gonzalez
740,Jorge Valenzuela Palma
741,Antonio Rivas Villalobos
742,Jorge Carlos Lozano Zapata
743,Ricardo Enrique Ibarra Valdebenito
744,Lilian Marlen Inostroza Parra
745,Brenda Lina Melehuechun Munoz
746,Pablo Cesar Riquelme Haro
747,Carlos Antonio Figueroa Gallardo
748,Sergio Zarzar Andonie
749,Aldo Dino Jose Bernucci Diaz
750,Enrique Edis Jara Rivera
751,Hugo Neftali Guinez Mardones
752,Felipe Aylwin Lagos
753,Rodolfo Victor Gazmuri Sanchez
754,Samuel Jimenez Letelier
755,Rodrigo Gonzalez Rivera
756,Viviana del Carmen Arias Navarrete
757,Juan Illanes Palma
758,Marco Antonio Contreras Jorquera
759,Cosme Mellado Pino
760,Alyson Hadad Reyes
761,Luis Huirilef Barra
762,Bernardita Viscarra Astudillo
763,Fernando Oyarzun Macias
764,Pedro Gerardo Andrade Oyarzun
765,Jose Navarro Oyarzo
766,Francisco Roncagliolo Lepio
767,Miguel Fernando Jara Mardones
768,Julio Manuel Fuentes Alarcon
769,Osvaldo Caro Caro
770,Carlos Soto Sotomayor
771,Silverio Morales Rosales
772,Sergio Tellez Barria
773,Patricio Ulloa Georgia
774,Ximena Alejandra Mardones Torres
775,Ana Maria Silva Gutierrez
776,Joaquin Valenzuela Baeza
777,Rodrigo Pino Ortega
778,Alejandro Pedreros Urrutia
779,Laura Aravena Alarcon
780,Alejandro Huala Canuman
781,Pablo Galilea Carrillo
782,Elson Borquez Yanez
783,Carlos Chandia Alarcon
784,Arnoldo Jimenez Venegas
785,Gregorio Valenzuela Abarca
786,Rodrigo Gonzalez Carrasco
787,Hernan Israel Sepulveda Villalobos
788,Pedro Pablo Munoz Oses
789,Patricio Valenzuela Flores
790,Maria Isabel Jorquera Caceres
791,Javier Garcia Choque
792,Rosauro Garcia Choque
793,Honorio Hilario Mamani Castro
794,Sonia Yenny Garcia Mamani
795,Mario Olavarria Rodriguez
796,Marcos Salgado Balboa
797,Manuel Macaya Ramirez
798,Carolina Lagos Jofre
799,Ema Vidal Diaz
800,Ibar Leiva Quevedo
801,Ruben Jorquera Vidal
802,Marcial Abarca Orellana
803,Jesus Sidharta Perez Franco
804,Pedro Miguel Angel Castillo Diaz
805,Solercio Rojas Aguirre
806,Oscar Armando Sumonte Gonzalez
807,Luis Rivera Caneo
808,Alberto Enrique Fernandez Lopez
809,Sandra Contreras Alvarez
810,Alvaro Ortiz Vera
811,Cristian Van Rysselberghe Herrera
812,Juan Polizzi Contreras
813,Alejandra Smith Becerra
814,Yolanda del Carmen Gonzalez Rebolledo
815,Rene de la Vega Fuentes
816,Marcela Rosales Belmar
817,Loreto Seguel King
818,Esteban Alvear Alvear
819,Gustavo Vergara Rojas
820,Lorenzo Molina Ramirez
821,Carlos Moises Valenzuela Gajardo
822,Roberto del Carmen Urrutia Concha
823,Hugo Reinaldo Tilleria Torres
824,Mauricio Lebrecht Sperberg
825,Carlos Arturo Leal Neira
826,Diego Ibanez Burgos
827,Marcos Lopez Rivera
828,Maglio Cicardini Neyra
829,Sofia Slovena Cid Versalovic
830,Christian Guzman Rojas
831,Inti Eleodoro Salamanca Fernandez
832,Luis Gabriel Marcos Perez
833,Jaime Vargas Guerra
834,Johanna Fernandez Rodriguez
835,Omar Aciar Jeraldo
