"","provincia","sex","branch","2011","2013","2015"
"1","Antofagasta","Hombre","Agricultura, Ganadería, Caza y Silvicultura",393993,225813,348395
"2","Antofagasta","Hombre","Pesca",464586,358323,271663
"3","Antofagasta","Hombre","Explotación de Minas y Canteras",810752,916997,986750
"4","Antofagasta","Hombre","Industrias Manufactureras",635000,535528,693643
"5","Antofagasta","Hombre","Electricidad, Gas y Agua",622795,685570,895302
"6","Antofagasta","Hombre","Construcción",607762,477678,609703
"7","Antofagasta","Hombre","Comercio",528867,519573,468131
"8","Antofagasta","Hombre","Hoteles y Restaurantes",561242,346990,839994
"9","Antofagasta","Hombre","Transporte, Almacenamiento y Comunicaciones",523988,487698,567994
"10","Antofagasta","Hombre","Intermediación Financiera",705895,678194,685473
"11","Antofagasta","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",658244,935326,875154
"12","Antofagasta","Hombre","Administración Pública y Defensa",529551,636065,612628
"13","Antofagasta","Hombre","Enseñanza",659609,695699,708691
"14","Antofagasta","Hombre","Servicios Sociales y de Salud",772434,1077593,702651
"15","Antofagasta","Hombre","Otras Actividades de Servicios",373312,317862,421898
"16","Antofagasta","Hombre","Servicio Doméstico",285689,552907,463174
"17","Antofagasta","Hombre","No Bien Especificado",770635,713559,670588
"18","Antofagasta","Mujer","Agricultura, Ganadería, Caza y Silvicultura",2057547,210000,200000
"19","Antofagasta","Mujer","Pesca",240680,121750,207600
"20","Antofagasta","Mujer","Explotación de Minas y Canteras",545334,1081815,639166
"21","Antofagasta","Mujer","Industrias Manufactureras",408693,272454,384786
"22","Antofagasta","Mujer","Electricidad, Gas y Agua",970332,635398,328885
"23","Antofagasta","Mujer","Construcción",486356,603280,623214
"24","Antofagasta","Mujer","Comercio",355924,278668,473451
"25","Antofagasta","Mujer","Hoteles y Restaurantes",346429,295797,421715
"26","Antofagasta","Mujer","Transporte, Almacenamiento y Comunicaciones",512682,311969,504031
"27","Antofagasta","Mujer","Intermediación Financiera",786884,700189,652470
"28","Antofagasta","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",455944,397617,586659
"29","Antofagasta","Mujer","Administración Pública y Defensa",461469,641918,540344
"30","Antofagasta","Mujer","Enseñanza",423399,451436,462202
"31","Antofagasta","Mujer","Servicios Sociales y de Salud",407951,612432,498083
"32","Antofagasta","Mujer","Otras Actividades de Servicios",396460,333743,308512
"33","Antofagasta","Mujer","Servicio Doméstico",189565,186762,206361
"34","Antofagasta","Mujer","Organizaciones y Órganos Extraterritoriales",328200,NA,NA
"35","Antofagasta","Mujer","No Bien Especificado",340842,312000,244554
"36","Arauco","Hombre","Agricultura, Ganadería, Caza y Silvicultura",209597,255987,304775
"37","Arauco","Hombre","Pesca",213750,134110,219807
"38","Arauco","Hombre","Explotación de Minas y Canteras",246588,375899,894699
"39","Arauco","Hombre","Industrias Manufactureras",301060,332157,310842
"40","Arauco","Hombre","Electricidad, Gas y Agua",175864,170000,420051
"41","Arauco","Hombre","Construcción",242522,246101,290433
"42","Arauco","Hombre","Comercio",248042,295488,331569
"43","Arauco","Hombre","Hoteles y Restaurantes",301357,343840,259795
"44","Arauco","Hombre","Transporte, Almacenamiento y Comunicaciones",324756,321443,395909
"45","Arauco","Hombre","Intermediación Financiera",403676,1400000,671857
"46","Arauco","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",542359,655994,384724
"47","Arauco","Hombre","Administración Pública y Defensa",226588,521164,400139
"48","Arauco","Hombre","Enseñanza",367822,431337,658530
"49","Arauco","Hombre","Servicios Sociales y de Salud",395111,552438,539570
"50","Arauco","Hombre","Otras Actividades de Servicios",209590,229838,233612
"51","Arauco","Hombre","Servicio Doméstico",308100,142696,143977
"52","Arauco","Mujer","Agricultura, Ganadería, Caza y Silvicultura",173695,166490,183894
"53","Arauco","Mujer","Pesca",112949,76319,126034
"54","Arauco","Mujer","Industrias Manufactureras",131095,167427,130096
"55","Arauco","Mujer","Comercio",168961,241269,242705
"56","Arauco","Mujer","Hoteles y Restaurantes",217295,203835,205115
