"","region","sex","branch","2011","2013","2015"
"1","Antofagasta","Hombre","Agricultura, Ganadería, Caza y Silvicultura",304660,266417,314114
"2","Antofagasta","Hombre","Pesca",453616,341217,255418
"3","Antofagasta","Hombre","Explotación de Minas y Canteras",764003,859993,895896
"4","Antofagasta","Hombre","Industrias Manufactureras",586624,532599,671220
"5","Antofagasta","Hombre","Electricidad, Gas y Agua",602070,636202,771973
"6","Antofagasta","Hombre","Construcción",600278,463065,584857
"7","Antofagasta","Hombre","Comercio",524184,413478,462782
"8","Antofagasta","Hombre","Hoteles y Restaurantes",527025,317067,802783
"9","Antofagasta","Hombre","Transporte, Almacenamiento y Comunicaciones",532934,481508,582820
"10","Antofagasta","Hombre","Intermediación Financiera",619508,634151,853135
"11","Antofagasta","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",642612,901751,796860
"12","Antofagasta","Hombre","Administración Pública y Defensa",550082,632923,673490
"13","Antofagasta","Hombre","Enseñanza",669487,714621,735919
"14","Antofagasta","Hombre","Servicios Sociales y de Salud",657984,994549,611366
"15","Antofagasta","Hombre","Otras Actividades de Servicios",379717,315725,463196
"16","Antofagasta","Hombre","Servicio Doméstico",299632,535210,363083
"17","Antofagasta","Hombre","No Bien Especificado",810954,713559,590939
"18","Antofagasta","Mujer","Agricultura, Ganadería, Caza y Silvicultura",1134506,163088,274371
"19","Antofagasta","Mujer","Pesca",301347,146952,195702
"20","Antofagasta","Mujer","Explotación de Minas y Canteras",532205,960472,609700
"21","Antofagasta","Mujer","Industrias Manufactureras",488223,270237,384743
"22","Antofagasta","Mujer","Electricidad, Gas y Agua",798122,579228,375145
"23","Antofagasta","Mujer","Construcción",504562,513139,693057
"24","Antofagasta","Mujer","Comercio",356288,267955,392214
"25","Antofagasta","Mujer","Hoteles y Restaurantes",351171,295586,405239
"26","Antofagasta","Mujer","Transporte, Almacenamiento y Comunicaciones",470228,312891,452542
"27","Antofagasta","Mujer","Intermediación Financiera",542938,650309,662453
"28","Antofagasta","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",487551,375127,580173
"29","Antofagasta","Mujer","Administración Pública y Defensa",432735,601532,544374
"30","Antofagasta","Mujer","Enseñanza",426810,459418,463083
"31","Antofagasta","Mujer","Servicios Sociales y de Salud",426443,654704,482161
"32","Antofagasta","Mujer","Otras Actividades de Servicios",384134,312116,347451
"33","Antofagasta","Mujer","Servicio Doméstico",189790,198722,192204
"34","Antofagasta","Mujer","Organizaciones y Órganos Extraterritoriales",328200,NA,NA
"35","Antofagasta","Mujer","No Bien Especificado",340842,412804,244554
"36","Araucanía","Hombre","Agricultura, Ganadería, Caza y Silvicultura",215560,262052,235336
"37","Araucanía","Hombre","Pesca",262701,256524,359209
"38","Araucanía","Hombre","Explotación de Minas y Canteras",851401,630497,444414
"39","Araucanía","Hombre","Industrias Manufactureras",301303,254324,315476
