"","comuna","sex","branch","2011","2013","2015"
"1","Algarrobo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",383082,194000,225000
"2","Algarrobo","Hombre","Electricidad, Gas y Agua",142220,380000,NA
"3","Algarrobo","Hombre","Construcción",473582,305833,268000
"4","Algarrobo","Hombre","Comercio",472420,2325348,222500
"5","Algarrobo","Hombre","Hoteles y Restaurantes",393840,273061,866667
"6","Algarrobo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",229720,893419,1045000
"7","Algarrobo","Hombre","Administración Pública y Defensa",207860,350000,400000
"8","Algarrobo","Hombre","Enseñanza",328200,755676,1766667
"9","Algarrobo","Hombre","Servicios Sociales y de Salud",415720,162000,NA
"10","Algarrobo","Hombre","Otras Actividades de Servicios",295004,396494,255000
"11","Algarrobo","Hombre","Servicio Doméstico",193921,253789,251667
"12","Algarrobo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",142220,NA,162500
"13","Algarrobo","Mujer","Industrias Manufactureras",941940,180000,202500
"14","Algarrobo","Mujer","Comercio",410800,295331,234500
"15","Algarrobo","Mujer","Hoteles y Restaurantes",410800,244325,153571
"16","Algarrobo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",180510,NA,887256
"17","Algarrobo","Mujer","Administración Pública y Defensa",328200,310000,NA
"18","Algarrobo","Mujer","Otras Actividades de Servicios",237623,NA,300000
"19","Algarrobo","Mujer","Servicio Doméstico",150444,216704,132500
"20","Alhué","Hombre","Agricultura, Ganadería, Caza y Silvicultura",274153,258377,260923
"21","Alhué","Hombre","Explotación de Minas y Canteras",359048,526536,518456
"22","Alhué","Hombre","Construcción",312710,231250,281875
"23","Alhué","Hombre","Comercio",165498,550000,343283
"24","Alhué","Hombre","Transporte, Almacenamiento y Comunicaciones",356755,188571,452500
"25","Alhué","Hombre","Otras Actividades de Servicios",246480,300000,NA
"26","Alhué","Mujer","Agricultura, Ganadería, Caza y Silvicultura",213612,247714,189900
"27","Alhué","Mujer","Explotación de Minas y Canteras",295380,160000,339000
"28","Alhué","Mujer","Comercio",369890,189907,228701
"29","Alhué","Mujer","Hoteles y Restaurantes",218800,30000,480000
"30","Alhué","Mujer","Administración Pública y Defensa",196920,195667,NA
"31","Alhué","Mujer","Enseñanza",169138,472850,402906
"32","Alhué","Mujer","Servicios Sociales y de Salud",207860,250000,240000
"33","Alhué","Mujer","Otras Actividades de Servicios",227395,290000,NA
"34","Alhué","Mujer","Servicio Doméstico",119258,160000,50000
"35","Alto Bíobío","Hombre","Agricultura, Ganadería, Caza y Silvicultura",195762,148185,156824
"36","Alto Bíobío","Hombre","Explotación de Minas y Canteras",240680,NA,450000
"37","Alto Bíobío","Hombre","Industrias Manufactureras",218800,281343,185000
"38","Alto Bíobío","Hombre","Electricidad, Gas y Agua",224323,500000,300000
"39","Alto Bíobío","Hombre","Construcción",238088,307656,382286
"40","Alto Bíobío","Hombre","Hoteles y Restaurantes",4261160,NA,3000000
"41","Alto Bíobío","Hombre","Transporte, Almacenamiento y Comunicaciones",547000,465468,NA
"42","Alto Bíobío","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",975650,451488,200000
"43","Alto Bíobío","Hombre","Administración Pública y Defensa",262560,243883,259500
"44","Alto Bíobío","Hombre","Enseñanza",252988,NA,412500
"45","Alto Bíobío","Hombre","Servicios Sociales y de Salud",497770,537778,NA
"46","Alto Bíobío","Hombre","Otras Actividades de Servicios",199655,208898,300000
"47","Alto Bíobío","Hombre","Servicio Doméstico",246480,NA,NA
"48","Alto Bíobío","Mujer","Agricultura, Ganadería, Caza y Silvicultura",199655,153264,216667
"49","Alto Bíobío","Mujer","Construcción",191450,198000,NA
"50","Alto Bíobío","Mujer","Comercio",220807,255000,282000
"51","Alto Bíobío","Mujer","Hoteles y Restaurantes",110646,160000,847500
"52","Alto Bíobío","Mujer","Transporte, Almacenamiento y Comunicaciones",222902,NA,NA
"53","Alto Bíobío","Mujer","Administración Pública y Defensa",288087,340163,359116
"54","Alto Bíobío","Mujer","Enseñanza",180637,153828,234143
"55","Alto Bíobío","Mujer","Servicios Sociales y de Salud",252714,351333,NA
"56","Alto Bíobío","Mujer","Otras Actividades de Servicios",437600,287000,NA
"57","Alto Bíobío","Mujer","Servicio Doméstico",153160,110000,NA
"58","Alto del Carmen","Hombre","Agricultura, Ganadería, Caza y Silvicultura",255806,256995,384615
"59","Alto del Carmen","Hombre","Explotación de Minas y Canteras",371419,330000,600000
"60","Alto del Carmen","Hombre","Electricidad, Gas y Agua",136878,NA,NA
"61","Alto del Carmen","Hombre","Construcción",407013,210000,300000
"62","Alto del Carmen","Hombre","Comercio",355409,NA,200000
"63","Alto del Carmen","Hombre","Transporte, Almacenamiento y Comunicaciones",406985,255000,300000
"64","Alto del Carmen","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",492300,NA,NA
"65","Alto del Carmen","Hombre","Administración Pública y Defensa",629050,290000,NA
"66","Alto del Carmen","Hombre","Enseñanza",438527,500000,NA
"67","Alto del Carmen","Hombre","Servicios Sociales y de Salud",600536,NA,350000
"68","Alto del Carmen","Hombre","Otras Actividades de Servicios",109400,NA,NA
"69","Alto del Carmen","Mujer","Agricultura, Ganadería, Caza y Silvicultura",193452,274500,223333
"70","Alto del Carmen","Mujer","Industrias Manufactureras",328200,100000,NA
"71","Alto del Carmen","Mujer","Comercio",339166,254375,30000
"72","Alto del Carmen","Mujer","Hoteles y Restaurantes",196920,NA,NA
"73","Alto del Carmen","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",131280,NA,NA
"74","Alto del Carmen","Mujer","Administración Pública y Defensa",273500,NA,NA
"75","Alto del Carmen","Mujer","Enseñanza",317850,217067,225000
"76","Alto del Carmen","Mujer","Servicios Sociales y de Salud",382900,300000,NA
"77","Alto del Carmen","Mujer","Otras Actividades de Servicios",328200,NA,NA
"78","Alto del Carmen","Mujer","Servicio Doméstico",213330,NA,NA
"79","Alto Hospicio","Hombre","Agricultura, Ganadería, Caza y Silvicultura",411809,199464,394667
"80","Alto Hospicio","Hombre","Pesca",356872,347500,353064
"81","Alto Hospicio","Hombre","Explotación de Minas y Canteras",586026,599462,586411
"82","Alto Hospicio","Hombre","Industrias Manufactureras",373829,381624,524222
"83","Alto Hospicio","Hombre","Electricidad, Gas y Agua",262500,360956,500000
"84","Alto Hospicio","Hombre","Construcción",348734,470608,398449
"85","Alto Hospicio","Hombre","Comercio",340170,342604,330342
"86","Alto Hospicio","Hombre","Hoteles y Restaurantes",324979,356755,306835
"87","Alto Hospicio","Hombre","Transporte, Almacenamiento y Comunicaciones",418606,424970,413545
"88","Alto Hospicio","Hombre","Intermediación Financiera",324043,382925,947253
"89","Alto Hospicio","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",337488,421142,501413
"90","Alto Hospicio","Hombre","Administración Pública y Defensa",470270,512067,567880
"91","Alto Hospicio","Hombre","Enseñanza",545105,657973,528050
"92","Alto Hospicio","Hombre","Servicios Sociales y de Salud",411302,536859,320913
"93","Alto Hospicio","Hombre","Otras Actividades de Servicios",347025,369164,432476
"94","Alto Hospicio","Hombre","Servicio Doméstico",321342,263614,276818
"95","Alto Hospicio","Mujer","Agricultura, Ganadería, Caza y Silvicultura",435861,140111,NA
"96","Alto Hospicio","Mujer","Pesca",223278,NA,NA
"97","Alto Hospicio","Mujer","Explotación de Minas y Canteras",250884,539783,551271
"98","Alto Hospicio","Mujer","Industrias Manufactureras",218801,210124,248063
"99","Alto Hospicio","Mujer","Electricidad, Gas y Agua",218800,491818,NA
"100","Alto Hospicio","Mujer","Construcción",295807,310314,347346
"101","Alto Hospicio","Mujer","Comercio",291586,262455,249845
"102","Alto Hospicio","Mujer","Hoteles y Restaurantes",242011,237964,256681
"103","Alto Hospicio","Mujer","Transporte, Almacenamiento y Comunicaciones",325490,259446,355132
"104","Alto Hospicio","Mujer","Intermediación Financiera",639388,939537,515909
"105","Alto Hospicio","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",321035,332955,337604
"106","Alto Hospicio","Mujer","Administración Pública y Defensa",307154,416908,424460
"107","Alto Hospicio","Mujer","Enseñanza",278368,345972,416084
"108","Alto Hospicio","Mujer","Servicios Sociales y de Salud",576874,491064,519934
"109","Alto Hospicio","Mujer","Otras Actividades de Servicios",211200,227710,193175
"110","Alto Hospicio","Mujer","Servicio Doméstico",167586,197067,195198
"111","Alto Hospicio","Mujer","Organizaciones y Órganos Extraterritoriales",112682,NA,NA
"112","Ancud","Hombre","Agricultura, Ganadería, Caza y Silvicultura",246199,159897,303053
"113","Ancud","Hombre","Pesca",258446,228870,269084
"114","Ancud","Hombre","Industrias Manufactureras",260257,248871,297307
"115","Ancud","Hombre","Electricidad, Gas y Agua",382900,NA,NA
"116","Ancud","Hombre","Construcción",322746,335761,271274
"117","Ancud","Hombre","Comercio",367524,408494,303590
"118","Ancud","Hombre","Hoteles y Restaurantes",258148,135250,186881
"119","Ancud","Hombre","Transporte, Almacenamiento y Comunicaciones",562961,258263,377583
"120","Ancud","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",150824,376895,946457
"121","Ancud","Hombre","Administración Pública y Defensa",514152,666368,491682
"122","Ancud","Hombre","Enseñanza",345416,383794,577309
"123","Ancud","Hombre","Servicios Sociales y de Salud",290900,832500,412831
"124","Ancud","Hombre","Otras Actividades de Servicios",162247,180385,319367
"125","Ancud","Hombre","Servicio Doméstico",123240,184075,232955
"126","Ancud","Mujer","Agricultura, Ganadería, Caza y Silvicultura",150940,109662,146561
"127","Ancud","Mujer","Pesca",174797,160869,308219
"128","Ancud","Mujer","Industrias Manufactureras",370527,156093,196972
"129","Ancud","Mujer","Electricidad, Gas y Agua",131280,250000,300000
"130","Ancud","Mujer","Construcción",796482,NA,410000
"131","Ancud","Mujer","Comercio",323074,139062,256233
"132","Ancud","Mujer","Hoteles y Restaurantes",292217,172337,164899
"133","Ancud","Mujer","Transporte, Almacenamiento y Comunicaciones",178184,230132,196425
"134","Ancud","Mujer","Intermediación Financiera",445347,NA,535859
"135","Ancud","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",125905,278065,478960
"136","Ancud","Mujer","Administración Pública y Defensa",219946,318462,566370
"137","Ancud","Mujer","Enseñanza",345792,427889,359715
"138","Ancud","Mujer","Servicios Sociales y de Salud",266788,327620,369147
"139","Ancud","Mujer","Otras Actividades de Servicios",52452,234384,224623
"140","Ancud","Mujer","Servicio Doméstico",91164,114332,129112
"141","Andacollo","Hombre","Agricultura, Ganadería, Caza y Silvicultura",197078,125667,142500
"142","Andacollo","Hombre","Explotación de Minas y Canteras",445154,448860,414574
"143","Andacollo","Hombre","Industrias Manufactureras",778384,500000,388333
"144","Andacollo","Hombre","Electricidad, Gas y Agua",328200,NA,210000
"145","Andacollo","Hombre","Construcción",326760,286454,339853
"146","Andacollo","Hombre","Comercio",356956,367288,213333
"147","Andacollo","Hombre","Transporte, Almacenamiento y Comunicaciones",642237,401765,300000
"148","Andacollo","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",1251616,229979,350000
"149","Andacollo","Hombre","Administración Pública y Defensa",202390,NA,458528
"150","Andacollo","Mujer","Agricultura, Ganadería, Caza y Silvicultura",183823,NA,71600
"151","Andacollo","Mujer","Explotación de Minas y Canteras",382959,390734,321333
"152","Andacollo","Mujer","Industrias Manufactureras",208793,425116,72500
"153","Andacollo","Mujer","Comercio",348243,178454,151922
"154","Andacollo","Mujer","Hoteles y Restaurantes",289987,156450,NA
"155","Andacollo","Mujer","Intermediación Financiera",187785,NA,NA
"156","Andacollo","Mujer","Actividades Inmobiliarias, Empresariales y de Alquiler",382900,NA,NA
"157","Andacollo","Mujer","Administración Pública y Defensa",270276,290217,202667
"158","Andacollo","Mujer","Enseñanza",113636,228113,422857
"159","Andacollo","Mujer","Servicio Doméstico",41496,146863,50000
"160","Angol","Hombre","Agricultura, Ganadería, Caza y Silvicultura",223696,321287,347175
"161","Angol","Hombre","Explotación de Minas y Canteras",215644,330331,627928
"162","Angol","Hombre","Industrias Manufactureras",316059,334598,443450
"163","Angol","Hombre","Construcción",387522,477188,310691
"164","Angol","Hombre","Comercio",304776,297682,352689
"165","Angol","Hombre","Hoteles y Restaurantes",131280,319024,211182
"166","Angol","Hombre","Transporte, Almacenamiento y Comunicaciones",390836,346853,338089
"167","Angol","Hombre","Intermediación Financiera",446318,270000,NA
"168","Angol","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler",899872,400970,388628
"169","Angol","Hombre","Administración Pública y Defensa",743200,620906,595797
"170","Angol","Hombre","Enseñanza",518193,519846,575009
"171","Angol","Hombre","Servicios Sociales y de Salud",160341,978187,527084
"172","Angol","Hombre","Otras Actividades de Servicios",186955,230000,265796
"173","Angol","Hombre","Servicio Doméstico",251042,185177,190777
"174","Angol","Mujer","Agricultura, Ganadería, Caza y Silvicultura",153420,194814,214148
"175","Angol","Mujer","Industrias Manufactureras",186876,203526,301284
